date,bottom20,top20
20-Mar,9.4,18
27-Mar,20.64,34.5
3-Apr,29.24,47
10-Apr,32.4,51.2
17-Apr,34.4,53.8
24-Apr,35.9,56.8
1-May,37.3,60.3
8-May,39.4,63.1
15-May,40.68,64.3
