week,tractBottom20Rate,geoid,overallCountyRate,county_name,state_name,st_usps,num_tracts,t_totpopacs18,t_whitealoneorcombo,t_pct_whitealoneorcombo,t_blackaloneorcombo,t_pct_blackaloneorcombo,t_amerindaloneorcombo,t_pct_amerindaloneorcombo,t_asianaloneorcombo,t_pct_asianaloneorcombo,t_hispanic,t_pct_hispanic,t_totpopbornoutus,t_pct_totpopbornoutus,t_poverty_total,t_poverty_less100,t_pct_poverty_less100,c_totpopacs18,c_whitealoneorcombo,c_pct_whitealoneorcombo,c_blackaloneorcombo,c_pct_blackaloneorcombo,c_amerindaloneorcombo,c_pct_amerindaloneorcombo,c_asianaloneorcombo,c_pct_asianaloneorcombo,c_hispanic,c_pct_hispanic,c_totpopbornoutus,c_pct_totpopbornoutus,c_poverty_total,c_poverty_less100,c_pct_poverty_less100
Week 9,47.1,48201,53.5,Harris,Texas,TX,356,1276451,793347,62,256231,20,11057,1,74581,6,760021,60,447153,35,1255197,336068,27,4602523,2978447,64.7,916494,19.9,41821,0.9,357617,7.8,1958963,42.6,1199771,26.1,4556828,739100,16.2
Week 9,47.1,17031,58.9,Cook,Illinois,IL,349,1099775,357349,32,495640,45,9701,1,31529,3,474934,43,228439,21,1076404,304409,28,5223719,3066917,58.7,1281067,24.5,40293,0.8,427441,8.2,1314232,25.2,1099659,21.1,5138012,778020,15.1
Week 9,47.1,42101,48.4,Philadelphia,Pennsylvania,PA,180,707292,179096,25,441451,62,9473,1,42264,6,124624,18,79945,11,678208,243101,36,1575522,682936,43.3,695886,44.2,17320,1.1,125462,8,227711,14.5,218489,13.9,1532157,380873,24.9
Week 9,47.1,26163,60.8,Wayne,Michigan,MI,173,368725,86297,23,259354,70,3844,1,10204,3,46563,13,31348,9,359930,147059,41,1761382,972724,55.2,706320,40.1,18420,1,69222,3.9,103202,5.9,157293,8.9,1740233,401149,23.1
Week 9,47.1,48113,55.1,Dallas,Texas,TX,166,627934,373120,59,169153,27,6308,1,29797,5,311963,50,191389,30,622950,153745,25,2586552,1650110,63.8,612756,23.7,29772,1.2,177225,6.9,1033000,39.9,628703,24.3,2556383,423899,16.6
Week 9,47.1,12086,53.8,Miami-Dade,Florida,FL,166,565588,391395,69,135055,24,3136,1,11063,2,324826,57,288863,51,547455,130128,24,2715516,2077025,76.5,503770,18.6,9859,0.4,53020,2,1845646,68,1446122,53.3,2676124,482656,18
Week 9,47.1,4013,60.3,Maricopa,Arizona,AZ,149,603763,427301,71,53524,9,34588,6,20976,3,333619,55,148949,25,584446,187229,32,4253913,3434157,80.7,289587,6.8,122387,2.9,224419,5.3,1311091,30.8,632945,14.9,4198378,618496,14.7
Week 9,47.1,36005,49.6,Bronx,New York,NY,148,533328,119093,22,224098,42,7279,1,25895,5,259286,49,197750,37,522258,135920,26,1437872,337743,23.5,523752,36.4,19653,1.4,62261,4.3,803636,55.9,509024,35.4,1402787,407528,29.1
Week 9,47.1,48215,41.4,Hidalgo,Texas,TX,143,595136,531976,89,3445,1,1974,0,3882,1,555869,93,168031,28,586228,204346,35,849389,757190,89.1,5788,0.7,2854,0.3,9375,1.1,781681,92,230582,27.1,839124,261968,31.2
Week 9,47.1,39035,60.9,Cuyahoga,Ohio,OH,119,260578,80917,31,170982,66,3996,2,6725,3,25656,10,11794,5,250910,99513,40,1253783,817260,65.2,394673,31.5,12128,1,46761,3.7,72492,5.8,90629,7.2,1227475,221899,18.1
Week 9,47.1,34013,53.2,Essex,New Jersey,NJ,105,350705,75104,21,217434,62,2463,1,7568,2,97183,28,114497,33,342852,89676,26,793555,349606,44.1,327124,41.2,5027,0.6,47036,5.9,180241,22.7,209992,26.5,774125,127250,16.4
Week 9,47.1,36061,50.4,New York,New York,NY,104,414107,276173,67,48501,12,2889,1,83962,20,47769,12,113555,27,394726,50758,13,1632480,973217,59.6,278902,17.1,25878,1.6,220205,13.5,423683,26,473160,29,1585578,263413,16.6
Week 9,47.1,13121,54.9,Fulton,Georgia,GA,99,280605,81648,29,182522,65,2787,1,15442,6,23375,8,31140,11,257812,70408,27,1021902,476623,46.6,463415,45.3,9262,0.9,79146,7.7,74328,7.3,130079,12.7,989542,149412,15.1
Week 9,47.1,24510,49.3,Baltimore,Maryland,MD,94,254369,48238,19,196474,77,2699,1,7239,3,13920,5,21429,8,245427,72396,29,614700,198365,32.3,394321,64.1,6570,1.1,19539,3.2,31503,5.1,49818,8.1,591942,128829,21.8
Week 9,47.1,12011,55.1,Broward,Florida,FL,93,330070,201410,61,117575,36,2704,1,7466,2,75553,23,114507,35,323772,63543,20,1909151,1216917,63.7,578421,30.3,17387,0.9,85722,4.5,554609,29.1,642641,33.7,1892224,255214,13.5
Week 9,47.1,25025,49.5,Suffolk,Massachusetts,MA,84,320734,153804,48,129047,40,3299,1,32510,10,94361,29,113178,35,290990,75071,26,791766,482750,61,216122,27.3,6850,0.9,77195,9.7,179702,22.7,235974,29.8,747962,144697,19.3
Week 9,47.1,47157,55.9,Shelby,Tennessee,TN,84,231644,35772,15,183791,79,1316,1,2622,1,18883,8,14215,6,225011,90219,40,937005,381827,40.7,510725,54.5,6232,0.7,28036,3,58537,6.2,60462,6.5,919244,189641,20.6
Week 9,47.1,48439,60.9,Tarrant,Texas,TX,83,301276,177733,59,71199,24,3569,1,13603,5,152143,50,80323,27,294495,79409,27,2019977,1428690,70.7,355784,17.6,26201,1.3,126436,6.3,576242,28.5,323987,16,1994417,258272,12.9
Week 9,47.1,32003,59.1,Clark,Nevada,NV,81,287016,153234,53,54938,19,5907,2,25574,9,124955,44,85424,30,271622,75124,28,2141574,1387798,64.8,287096,13.4,34743,1.6,255927,12,662081,30.9,475317,22.2,2114421,299169,14.1
Week 9,47.1,48061,40.9,Cameron,Texas,TX,79,268197,255844,95,1204,0,886,0,1330,0,241070,90,63572,24,265965,88805,33,421750,401467,95.2,2846,0.7,1782,0.4,3476,0.8,377439,89.5,99251,23.5,417698,127760,30.6
Week 9,47.1,6071,55.9,San Bernardino,California,CA,78,243416,190309,78,21959,9,5156,2,9558,4,93767,39,34359,14,235467,56341,24,2135413,1386028,64.9,214078,10,44207,2.1,180676,8.5,1127813,52.8,448196,21,2075424,359080,17.3
Week 9,47.1,6065,58.3,Riverside,California,CA,76,241755,146464,61,12150,5,4229,2,10441,4,138471,57,62328,26,234255,53964,23,2383286,1537219,64.5,183587,7.7,43626,1.8,190468,8,1154517,48.4,516238,21.7,2347408,345724,14.7
