geoid,geo_id_acs12,tot_pop_acs12,nh_white_acs12,nh_black_acs12,nh_aian_acs12,nh_asian_acs12,nh_haw_pi_acs12,nh_other_acs12,nh_two_plus_acs12,hispanic_acs12,geo_id_acs19,tot_pop_acs19,nh_white_acs19,nh_black_acs19,nh_aian_acs19,nh_asian_acs19,nh_haw_pi_acs19,nh_other_acs19,nh_two_plus_acs19,hispanic_acs19,interp_flag,tot_pop_change,nh_white_change,nh_black_change,nh_aian_change,nh_asian_change,nh_haw_pi_change,nh_other_change,nh_two_plus_change,hispanic_change,pct_tot_pop_change,pct_nh_white_change,pct_nh_black_change,pct_nh_aian_change,pct_nh_asian_change,pct_nh_haw_pi_change,pct_nh_other_change,pct_nh_two_plus_change,pct_hispanic_change,tot_pop_inc,nh_white_inc,nh_black_inc,nh_aian_inc,nh_asian_inc,nh_haw_pi_inc,nh_other_inc,nh_two_plus_inc,hispanic_inc
20028,610U300US20028,68626,44998,5106,468,2605,0,76,3638,11735,610U600US20028,70234,44339,5329,573,3258,0,11,3147,13577,0,1608,-659,223,105,653,0,-65,-491,1842,2.3431,-1.4645,4.3674,22.4359,25.0672,0,-85.5263,-13.4964,15.6966,1,0,1,1,1,0,0,0,1
39015,610U300US39015,351461,170293,144809,725,8394,142,888,11066,15144,610U600US39015,390674,179518,157829,932,13081,363,1419,15287,22245,0,39213,9225,13020,207,4687,221,531,4221,7101,11.1571,5.4171,8.9912,28.5517,55.8375,155.6338,59.7973,38.1439,46.8899,1,1,1,1,1,1,1,1,1
19045,610U300US19045,60779,45266,6710,221,1558,0,11,1946,5067,610U600US19045,61484,44524,7066,287,1565,5,119,1742,6176,0,705,-742,356,66,7,5,108,-204,1109,1.1599,-1.6392,5.3055,29.8643,0.4493,0,981.8182,-10.483,21.8867,1,0,1,1,1,1,1,0,1
19010,610U300US19010,61402,55928,328,52,548,7,7,839,3693,610U600US19010,65660,59417,596,81,771,0,8,801,3986,0,4258,3489,268,29,223,-7,1,-38,293,6.9346,6.2384,81.7073,55.7692,40.6934,-100,14.2857,-4.5292,7.9339,1,1,1,1,1,0,1,0,1
19001,610U300US19001,60865,58465,187,105,187,127,7,346,1441,610U600US19001,60169,56538,418,110,325,39,51,691,1997,0,-696,-1927,231,5,138,-88,44,345,556,-1.1435,-3.296,123.5294,4.7619,73.7968,-69.2913,628.5714,99.711,38.5843,0,0,1,1,1,0,1,1,1
39031,610U300US39031,361508,342320,6824,462,1812,72,175,5013,4830,610U600US39031,369533,343938,7506,555,2778,67,447,7339,6903,0,8025,1618,682,93,966,-5,272,2326,2073,2.2199,0.4727,9.9941,20.1299,53.3113,-6.9444,155.4286,46.3994,42.9193,1,1,1,1,1,0,1,1,1
51019,610U300US51019,198657,181728,7886,424,2062,0,160,2176,4221,610U600US51019,201807,181634,8031,264,2992,35,485,3084,5282,0,3150,-94,145,-160,930,35,325,908,1061,1.5856,-0.0517,1.8387,-37.7358,45.1018,0,203.125,41.7279,25.1362,1,0,1,0,1,1,1,1,1
49014,610U300US49014,94921,85935,537,269,851,390,224,1716,4999,610U600US49014,105615,94156,466,273,1100,1069,123,2068,6360,0,10694,8221,-71,4,249,679,-101,352,1361,11.2662,9.5665,-13.2216,1.487,29.2597,174.1026,-45.0893,20.5128,27.2254,1,1,0,1,1,1,0,1,1
19007,610U300US19007,61996,42633,1866,1114,2268,174,160,1732,12049,610U600US19007,61313,38227,2885,1435,2689,256,37,1601,14183,0,-683,-4406,1019,321,421,82,-123,-131,2134,-1.1017,-10.3347,54.6088,28.8151,18.5626,47.1264,-76.875,-7.5635,17.711,0,0,1,1,1,1,0,0,1
40021,610U300US40021,77125,61246,2529,2528,2747,31,56,4987,3001,610U600US40021,81815,62937,3223,3281,3508,71,6,4931,3858,0,4690,1691,694,753,761,40,-50,-56,857,6.081,2.761,27.4417,29.7864,27.7029,129.0323,-89.2857,-1.1229,28.5571,1,1,1,1,1,1,0,0,1
24022,610U300US24022,126474,21697,64719,89,6448,26,362,2655,30478,610U600US24022,133641,20429,63007,345,6669,0,618,3219,39354,0,7167,-1268,-1712,256,221,-26,256,564,8876,5.6668,-5.8441,-2.6453,287.6404,3.4274,-100,70.7182,21.2429,29.1226,1,0,0,1,1,0,1,1,1
20019,610U300US20019,72660,50920,7440,587,436,0,19,2634,10624,610U600US20019,69957,47812,7507,459,172,35,47,2050,11875,0,-2703,-3108,67,-128,-264,35,28,-584,1251,-3.7201,-6.1037,0.9005,-21.8058,-60.5505,0,147.3684,-22.1716,11.7752,0,0,1,0,0,1,1,0,1
49016,610U300US49016,95305,76126,695,279,2598,824,206,2248,12329,610U600US49016,97985,78131,474,447,2937,1353,212,3397,11034,0,2680,2005,-221,168,339,529,6,1149,-1295,2.812,2.6338,-31.7986,60.2151,13.0485,64.199,2.9126,51.1121,-10.5037,1,1,0,1,1,1,1,1,0
19004,610U300US19004,61066,56929,259,100,210,32,33,515,2988,610U600US19004,58491,52991,683,123,342,0,0,524,3828,0,-2575,-3938,424,23,132,-32,-33,9,840,-4.2167,-6.9174,163.7066,23,62.8571,-100,-100,1.7476,28.1124,0,0,1,1,1,0,0,1,1
40024,610U300US40024,79467,57916,3124,3004,2652,22,42,4683,8024,610U600US40024,88620,62269,5070,3225,3803,0,134,5621,8498,0,9153,4353,1946,221,1151,-22,92,938,474,11.518,7.5161,62.2919,7.3569,43.4012,-100,219.0476,20.0299,5.9073,1,1,1,1,1,0,1,1,1
36005,610U300US36005,313602,244051,8448,251,24679,12,1332,2774,32055,610U600US36005,316621,232896,9696,136,30907,16,3057,5024,34889,0,3019,-11155,1248,-115,6228,4,1725,2250,2834,0.9627,-4.5708,14.7727,-45.8167,25.236,33.3333,129.5045,81.1103,8.8411,1,0,1,0,1,1,1,1,1
6025,610U300US06025,934193,489119,43712,1403,129052,1014,2743,22950,244200,610U600US06025,948932,465166,42216,1950,142440,1541,3492,30518,261609,0,14739,-23953,-1496,547,13388,527,749,7568,17409,1.5777,-4.8972,-3.4224,38.9879,10.3741,51.9724,27.3059,32.976,7.129,1,0,0,1,1,1,1,1,1
47015,610U300US47015,200643,187608,2963,198,1068,0,27,2496,6283,610U600US47015,212049,194841,3309,901,1341,92,128,3200,8237,0,11406,7233,346,703,273,92,101,704,1954,5.6847,3.8554,11.6774,355.0505,25.5618,0,374.0741,28.2051,31.0998,1,1,1,1,1,1,1,1,1
53016,610U300US53016,137764,83205,1883,1195,1336,177,39,2192,47737,610U600US53016,143382,81586,1845,639,1823,199,172,3256,53862,0,5618,-1619,-38,-556,487,22,133,1064,6125,4.078,-1.9458,-2.0181,-46.5272,36.4521,12.4294,341.0256,48.5401,12.8307,1,0,0,0,1,1,1,1,1
36007,610U300US36007,316534,197074,25329,229,42050,40,1937,5315,44560,610U600US36007,322932,178296,26090,462,58891,122,2569,5467,51035,0,6398,-18778,761,233,16841,82,632,152,6475,2.0213,-9.5284,3.0045,101.7467,40.0499,205,32.6278,2.8598,14.531,1,0,1,1,1,1,1,1,1
41025,610U300US41025,126401,88054,3644,1034,5960,874,57,3849,22929,610U600US41025,131160,81921,6117,1176,6011,984,214,6337,28400,0,4759,-6133,2473,142,51,110,157,2488,5471,3.765,-6.965,67.865,13.7331,0.8557,12.5858,275.4386,64.6402,23.8606,1,0,1,1,1,1,1,1,1
12038,610U300US12038,468253,124231,153502,497,7333,254,1418,3012,178006,610U600US12038,497769,115071,150649,1046,8054,369,2556,3930,216094,1,29516,-9160,-2853,549,721,115,1138,918,38088,6.3034,-7.3734,-1.8586,110.4628,9.8323,45.2756,80.2539,30.4781,21.397,1,0,0,1,1,1,1,1,1
53047,610U300US53047,132514,81679,8498,506,17397,1509,683,6197,16045,610U600US53047,153373,83072,11525,1092,28905,1399,341,9594,17445,0,20859,1393,3027,586,11508,-110,-342,3397,1400,15.741,1.7055,35.6201,115.8103,66.1493,-7.2896,-50.0732,54.8168,8.7255,1,1,1,1,1,0,0,1,1
51032,610U300US51032,201087,136437,10488,171,27857,291,780,6610,18453,610U600US51032,210795,135793,11402,282,35427,7,689,7167,20028,0,9708,-644,914,111,7570,-284,-91,557,1575,4.8278,-0.472,8.7147,64.9123,27.1745,-97.5945,-11.6667,8.4266,8.5352,1,0,1,1,1,0,0,1,1
20009,610U300US20009,68632,53852,3387,240,2276,0,68,1740,7069,610U600US20009,80777,62869,4128,155,2287,8,14,1922,9394,0,12145,9017,741,-85,11,8,-54,182,2325,17.6958,16.744,21.8778,-35.4167,0.4833,0,-79.4118,10.4598,32.8901,1,1,1,0,1,1,0,1,1
44001,610U300US44001,26735,10215,4624,60,1554,16,340,837,9089,610U600US44001,28440,7534,6617,33,1070,27,210,978,11971,0,1705,-2681,1993,-27,-484,11,-130,141,2882,6.3774,-26.2457,43.1012,-45,-31.1454,68.75,-38.2353,16.8459,31.7087,1,0,1,0,0,1,0,1,1
36024,610U300US36024,322085,253878,6853,308,22882,0,538,2601,35025,610U600US36024,329766,246757,6457,391,29578,124,542,4698,41219,0,7681,-7121,-396,83,6696,124,4,2097,6194,2.3848,-2.8049,-5.7785,26.9481,29.2632,0,0.7435,80.6228,17.6845,1,0,0,1,1,1,1,1,1
53004,610U300US53004,137776,122502,938,917,2741,363,270,4316,5729,610U600US53004,152996,133674,1360,1232,2811,587,54,4894,8384,0,15220,11172,422,315,70,224,-216,578,2655,11.0469,9.1199,44.9893,34.3511,2.5538,61.708,-80,13.392,46.3432,1,1,1,1,1,1,0,1,1
38010,610U300US38010,14437,13744,9,244,30,0,0,159,251,610U600US38010,13578,12639,27,254,49,0,1,248,360,0,-859,-1105,18,10,19,0,1,89,109,-5.95,-8.0399,200,4.0984,63.3333,0,0,55.9748,43.4263,0,0,1,1,1,0,1,1,1
49020,610U300US49020,94477,78462,1163,393,1555,223,87,1727,10867,610U600US49020,106118,86478,685,489,1146,309,90,3079,13842,0,11641,8016,-478,96,-409,86,3,1352,2975,12.3215,10.2164,-41.1006,24.4275,-26.3023,38.565,3.4483,78.286,27.3765,1,1,0,1,0,1,1,1,1
49019,610U300US49019,95231,75398,942,493,941,145,15,1601,15696,610U600US49019,105410,79858,706,527,1113,158,110,1777,21161,0,10179,4460,-236,34,172,13,95,176,5465,10.6887,5.9153,-25.0531,6.8966,18.2784,8.9655,633.3333,10.9931,34.8178,1,1,0,1,1,1,1,1,1
16030,610U300US16030,47669,40332,196,83,333,28,0,930,5767,610U600US16030,55516,46920,140,223,421,80,38,1021,6673,0,7847,6588,-56,140,88,52,38,91,906,16.4614,16.3344,-28.5714,168.6747,26.4264,185.7143,0,9.7849,15.7101,1,1,0,1,1,1,1,1,1
31044,610U300US31044,36909,34896,130,164,61,0,1,190,1467,610U600US31044,35888,33305,122,31,48,7,7,473,1895,0,-1021,-1591,-8,-133,-13,7,6,283,428,-2.7663,-4.5593,-6.1538,-81.0976,-21.3115,0,600,148.9474,29.1752,0,0,0,0,0,1,1,1,1
26038,610U300US26038,254898,236335,4284,4723,1992,97,138,4537,2792,610U600US26038,247116,226037,3934,4464,2295,78,214,6251,3843,0,-7782,-10298,-350,-259,303,-19,76,1714,1051,-3.053,-4.3574,-8.1699,-5.4838,15.2108,-19.5876,55.0725,37.7783,37.6433,0,0,0,0,1,0,1,1,1
16035,610U300US16035,42671,36958,40,246,88,19,0,515,4805,610U600US16035,45048,38663,31,398,151,96,13,488,5208,0,2377,1705,-9,152,63,77,13,-27,403,5.5705,4.6133,-22.5,61.7886,71.5909,405.2632,0,-5.2427,8.3871,1,1,0,1,1,1,1,0,1
27007,610U300US27007,78951,70910,1862,1829,1071,26,19,2142,1092,610U600US27007,78348,68990,1767,1439,1182,21,26,3055,1868,0,-603,-1920,-95,-390,111,-5,7,913,776,-0.7638,-2.7077,-5.102,-21.3231,10.3641,-19.2308,36.8421,42.6237,71.0623,0,0,0,0,1,0,1,1,1
49027,610U300US49027,95198,76426,319,8051,401,658,362,1246,7735,610U600US49027,99047,77701,267,7852,446,452,16,1241,11072,0,3849,1275,-52,-199,45,-206,-346,-5,3337,4.0432,1.6683,-16.3009,-2.4717,11.2219,-31.307,-95.5801,-0.4013,43.1416,1,1,0,0,1,0,0,0,1
33008,610U300US33008,55036,52905,142,124,311,31,15,858,650,610U600US33008,55724,53159,210,181,291,0,110,1091,682,0,688,254,68,57,-20,-31,95,233,32,1.2501,0.4801,47.8873,45.9677,-6.4309,-100,633.3333,27.1562,4.9231,1,1,1,1,0,0,1,1,1
