nta,first2016,total_voted,total,pct_first2016_total_voted,pct_first2016_total
QN01,363,8283,14277,4.38247012,2.542550956
QN02,216,8811,12739,2.451481103,1.695580501
QN03,144,4990,7722,2.885771543,1.864801865
QN05,246,6558,9927,3.751143641,2.478090057
QN06,349,6875,10231,5.076363636,3.411201251
QN07,231,4589,7684,5.033776422,3.006246746
QN08,407,14327,22816,2.840790117,1.783835905
QN10,637,9062,12553,7.029353344,5.074484187
QN12,607,7456,11956,8.141094421,5.076948812
QN15,585,8961,14593,6.528289253,4.008771329
QN17,1263,21643,31952,5.835605046,3.952804206
QN18,436,5782,9349,7.540643376,4.663600385
QN19,477,7043,11031,6.772682096,4.324177318
QN20,788,8639,16310,9.121426091,4.831391784
QN21,606,9652,14752,6.278491504,4.10791757
QN22,648,9029,16639,7.176874515,3.894464812
QN23,283,3565,6153,7.93828892,4.599382415
QN25,482,6858,12341,7.028288131,3.905680253
QN26,256,3739,7250,6.846750468,3.531034483
QN27,211,3827,6401,5.513457016,3.296359944
QN28,1133,18493,29648,6.126642513,3.821505666
QN29,779,9366,17130,8.317317959,4.54757735
QN30,390,5486,8943,7.109004739,4.3609527
QN31,708,12711,18520,5.569978759,3.822894168
QN33,156,6678,10132,2.336028751,1.539676273
QN34,667,13084,21090,5.09782941,3.162636321
QN35,639,7250,11949,8.813793103,5.347727843
QN37,430,7434,12678,5.784234598,3.391702161
QN38,413,7142,11935,5.782693923,3.460410557
QN41,260,3863,5819,6.730520321,4.46812167
QN42,534,7259,10836,7.356385177,4.928017719
QN43,397,6506,9706,6.102059637,4.090253451
QN44,329,6584,9375,4.996962333,3.509333333
QN45,427,7434,10580,5.743879473,4.035916824
QN46,728,10697,16236,6.805646443,4.48386302
QN47,355,7172,9963,4.949804796,3.56318378
QN48,338,4685,7502,7.214514408,4.505465209
QN49,576,8315,12195,6.927239928,4.723247232
QN50,226,3098,5728,7.295029051,3.945530726
QN51,658,8493,14285,7.747556811,4.606230312
QN52,339,3736,6868,9.073875803,4.93593477
QN53,699,9245,15812,7.560843699,4.420693144
QN54,674,8743,15966,7.709024362,4.221470625
QN55,1005,12430,22573,8.085277554,4.452221681
QN56,310,3769,6721,8.224993367,4.612408868
QN57,618,7767,11033,7.956740054,5.601377685
QN60,328,5322,7995,6.16309658,4.102564103
QN61,503,7476,13170,6.728196897,3.819286257
QN62,230,2769,5607,8.306247743,4.102015338
QN63,450,7491,11837,6.00720865,3.801638929
QN66,231,8415,12743,2.745098039,1.812759947
