aded,boro,nta_name,DEM,REP,ALL_OTH,total_first2016,total_voted2016,pct_total_first2016_total_voted2016,pct_dem_first2016,pct_rep_first2016,pct_oth_first2016,trump_votes,clinton_votes,total_votes,winner,female_first2016,pct_female_first2016,female_first2016_dem,female_first2016_rep,male_first2016,pct_male_first2016,male_first2016_dem,male_first2016_rep
23038,Queens,Hammels-Arverne-Edgemere,13,2,1,16,99,16.16,81.25,12.5,6.25,14,74,179,clinton,7,43.75,7,0,9,56.25,6,2
23039,Queens,Far Rockaway-Bayswater,13,8,4,25,584,4.28,52,32,16,353,133,562,trump,12,48,6,6,13,52,7,2
23040,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,19,10,11,40,586,6.83,47.5,25,27.5,401,160,615,trump,18,45,9,3,22,55,10,7
23041,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,15,12,9,36,456,7.89,41.67,33.33,25,332,122,489,trump,18,50,9,8,18,50,6,4
23042,Queens,Far Rockaway-Bayswater,21,3,3,27,636,4.25,77.78,11.11,11.11,38,609,757,clinton,12,44.44444444,10,1,15,55.55555556,11,2
23043,Queens,Woodhaven,18,,0,18,364,4.95,100,0,0,69,295,397,clinton,11,61.11111111,11,0,7,38.88888889,7,0
23044,Queens,Lindenwood-Howard Beach,9,9,20,38,511,7.44,23.68,23.68,52.63,553,203,827,trump,21,55.26315789,5,3,17,44.73684211,4,6
23045,Queens,Lindenwood-Howard Beach,14,18,15,47,746,6.3,29.79,38.3,31.91,534,199,795,trump,19,40.42553191,7,9,28,59.57446809,7,9
23046,Queens,Lindenwood-Howard Beach,13,24,8,45,582,7.73,28.89,53.33,17.78,619,176,853,trump,26,57.77777778,10,11,19,42.22222222,3,13
23047,Queens,Lindenwood-Howard Beach,6,16,6,28,466,6.01,21.43,57.14,21.43,333,126,482,trump,14,50,2,9,14,50,4,7
23048,Queens,Lindenwood-Howard Beach,8,11,9,28,449,6.24,28.57,39.29,32.14,307,133,483,trump,13,46.42857143,4,5,15,53.57142857,4,6
23049,Queens,Lindenwood-Howard Beach,14,23,16,53,707,7.5,26.42,43.4,30.19,577,154,813,trump,26,49.05660377,8,11,27,50.94339623,6,12
23050,Queens,Lindenwood-Howard Beach,15,12,14,41,690,5.94,36.59,29.27,34.15,456,294,826,trump,20,48.7804878,9,2,21,51.2195122,6,10
23051,Queens,Lindenwood-Howard Beach,16,17,14,47,734,6.4,34.04,36.17,29.79,554,196,804,trump,25,53.19148936,10,11,22,46.80851064,6,6
23052,Queens,Lindenwood-Howard Beach,16,19,11,46,707,6.51,34.78,41.3,23.91,316,194,553,trump,19,41.30434783,6,6,27,58.69565217,10,13
23053,Queens,Ozone Park,19,11,14,44,638,6.9,43.18,25,31.82,313,443,839,clinton,21,47.72727273,11,3,23,52.27272727,8,8
23054,Queens,Ozone Park,17,9,8,34,616,5.52,50,26.47,23.53,298,385,736,clinton,19,55.88235294,10,5,15,44.11764706,7,4
23055,Queens,Ozone Park,19,6,4,29,592,4.9,65.52,20.69,13.79,88,270,389,clinton,15,51.72413793,11,3,14,48.27586207,8,3
23056,Queens,Ozone Park,2,,1,3,67,4.48,66.67,0,33.33,146,474,689,clinton,1,33.33333333,1,0,2,66.66666667,1,0
23057,Queens,Ozone Park,10,4,8,22,570,3.86,45.45,18.18,36.36,245,567,866,clinton,12,54.54545455,7,2,10,45.45454545,3,2
23058,Queens,Ozone Park,15,5,12,32,589,5.43,46.88,15.63,37.5,238,501,820,clinton,20,62.5,10,3,12,37.5,5,2
23059,Queens,Ozone Park,24,4,6,34,576,5.9,70.59,11.76,17.65,162,469,684,clinton,16,47.05882353,9,2,18,52.94117647,15,2
23060,Queens,Ozone Park,13,2,6,21,597,3.52,61.9,9.52,28.57,171,487,726,clinton,8,38.0952381,7,0,13,61.9047619,6,2
23061,Queens,Lindenwood-Howard Beach,17,9,7,33,697,4.73,51.52,27.27,21.21,274,381,722,clinton,23,69.6969697,12,6,10,30.3030303,5,3
23062,Queens,Lindenwood-Howard Beach,13,8,5,26,702,3.7,50,30.77,19.23,394,421,907,clinton,14,53.84615385,7,5,12,46.15384615,6,3
23063,Queens,Lindenwood-Howard Beach,6,5,9,20,544,3.68,30,25,45,310,457,821,clinton,13,65,3,5,7,35,3,0
23064,Queens,Lindenwood-Howard Beach,20,11,9,40,742,5.39,50,27.5,22.5,415,433,932,clinton,21,52.5,10,7,19,47.5,10,4
23065,Queens,Lindenwood-Howard Beach,28,5,12,45,677,6.65,62.22,11.11,26.67,303,493,867,clinton,24,53.33333333,17,2,21,46.66666667,11,3
23066,Queens,Ozone Park,21,5,5,31,461,6.72,67.74,16.13,16.13,71,378,487,clinton,15,48.38709677,11,2,16,51.61290323,10,3
23067,Queens,Ozone Park,8,,1,9,404,2.23,88.89,0,11.11,26,378,433,clinton,8,88.88888889,7,0,1,11.11111111,1,0
23068,Queens,Woodhaven,12,3,3,18,445,4.04,66.67,16.67,16.67,54,380,493,clinton,9,50,7,0,9,50,5,3
23069,Queens,Woodhaven,22,5,5,32,494,6.48,68.75,15.63,15.63,108,385,546,clinton,19,59.375,13,3,13,40.625,9,2
23070,Queens,South Ozone Park,15,5,8,28,576,4.86,53.57,17.86,28.57,137,483,682,clinton,15,53.57142857,10,2,13,46.42857143,5,3
23071,Queens,Hammels-Arverne-Edgemere,1,,0,1,6,16.67,100,0,0,0,8,12,clinton,1,100,1,0,0,0,0,0
23084,Queens,Lindenwood-Howard Beach,11,4,5,20,447,4.47,55,20,25,69,123,208,clinton,9,45,4,3,11,55,7,1
23085,Queens,Hammels-Arverne-Edgemere,19,11,3,33,407,8.11,57.58,33.33,9.09,140,220,407,clinton,20,60.60606061,11,7,13,39.39393939,8,4
23086,Queens,Hammels-Arverne-Edgemere,9,6,7,22,369,5.96,40.91,27.27,31.82,137,226,400,clinton,9,40.90909091,3,3,13,59.09090909,6,3
23087,Queens,Hammels-Arverne-Edgemere,11,5,1,17,370,4.59,64.71,29.41,5.88,0,0,0,none,12,70.58823529,9,3,5,29.41176471,2,2
23088,Queens,Far Rockaway-Bayswater,10,2,0,12,366,3.28,83.33,16.67,0,0,0,0,none,9,75,7,2,3,25,3,0
23089,Queens,Ozone Park,21,3,9,33,567,5.82,63.64,9.09,27.27,0,0,0,none,16,48.48484848,10,2,17,51.51515152,11,1
23090,Queens,Lindenwood-Howard Beach,14,13,10,37,502,7.37,37.84,35.14,27.03,0,0,0,none,23,62.16216216,9,7,14,37.83783784,5,6
23091,Queens,South Ozone Park,2,,0,2,71,2.82,100,0,0,0,0,0,none,1,50,1,0,1,50,1,0
23092,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,15,12,6,33,594,5.56,45.45,36.36,18.18,0,0,0,none,22,66.66666667,14,5,11,33.33333333,1,7
23093,Queens,Lindenwood-Howard Beach,13,6,5,24,466,5.15,54.17,25,20.83,0,0,0,none,11,45.83333333,5,3,13,54.16666667,8,3
24001,Queens,Bellerose,9,5,4,18,418,4.31,50,27.78,22.22,135,275,462,clinton,7,38.88888889,3,2,11,61.11111111,6,3
24002,Queens,Bellerose,17,2,7,26,668,3.89,65.38,7.69,26.92,215,534,836,clinton,18,69.23076923,12,1,8,30.76923077,5,1
24003,Queens,Glen Oaks-Floral Park-New Hyde Park,12,2,11,25,552,4.53,48,8,44,163,345,569,clinton,19,76,10,2,6,24,2,0
24004,Queens,Glen Oaks-Floral Park-New Hyde Park,8,2,1,11,454,2.42,72.73,18.18,9.09,103,222,354,clinton,6,54.54545455,5,0,5,45.45454545,3,2
24005,Queens,Bellerose,15,3,5,23,621,3.7,65.22,13.04,21.74,219,506,787,clinton,13,56.52173913,8,2,10,43.47826087,7,1
24006,Queens,Glen Oaks-Floral Park-New Hyde Park,18,8,5,31,676,4.59,58.06,25.81,16.13,225,432,713,clinton,18,58.06451613,9,6,13,41.93548387,9,2
24007,Queens,Bellerose,19,2,5,26,622,4.18,73.08,7.69,19.23,150,338,526,clinton,15,57.69230769,11,1,11,42.30769231,8,1
24008,Queens,Bellerose,13,4,1,18,200,9,72.22,22.22,5.56,26,191,245,clinton,10,55.55555556,8,1,8,44.44444444,5,3
24010,Queens,Bellerose,10,2,2,14,356,3.93,71.43,14.29,14.29,84,275,395,clinton,7,50,6,0,7,50,4,2
24011,Queens,Bellerose,14,4,7,25,461,5.42,56,16,28,104,345,485,clinton,10,40,6,1,15,60,8,3
24012,Queens,Bellerose,3,1,0,4,80,5,75,25,0,19,63,92,clinton,1,25,1,0,3,75,2,1
24013,Queens,Bellerose,12,1,3,16,525,3.05,75,6.25,18.75,87,421,564,clinton,8,50,7,1,8,50,5,0
24014,Queens,Bellerose,8,3,4,15,383,3.92,53.33,20,26.67,91,281,418,clinton,7,46.66666667,5,1,8,53.33333333,3,2
