nta,first2016,total_voted,total,pct_first2016_total_voted,pct_first2016_total
MN15,85,6928,9837,1.226905312,0.864084579
MN17,39,3170,5070,1.230283912,0.769230769
MN19,71,8391,11447,0.846144679,0.620249847
MN20,65,6659,9052,0.976122541,0.718073354
MN21,29,4391,5867,0.660441813,0.494290097
MN22,77,5745,7848,1.340295909,0.981141692
MN23,79,13172,16494,0.59975706,0.478962047
MN24,61,6086,8360,1.002300361,0.729665072
MN25,48,3705,4914,1.295546559,0.976800977
MN27,123,4078,7687,3.016184404,1.600104072
MN28,269,12061,19709,2.23032916,1.364858694
MN31,102,12498,16661,0.816130581,0.612208151
MN32,129,14411,18745,0.895149539,0.688183516
MN33,205,9029,14293,2.270461845,1.434268523
MN34,170,8550,13944,1.988304094,1.219162364
MN35,127,9179,13993,1.383592984,0.907596655
MN36,181,10067,17225,1.79795371,1.050798258
MN40,115,15531,21014,0.740454575,0.547254211
MN50,29,5164,6601,0.56158017,0.439327375
QN01,78,5085,8417,1.533923304,0.926695972
QN02,50,6271,8815,0.797321001,0.567214974
QN03,33,3131,4701,1.053976365,0.701978302
QN05,42,4099,5898,1.024640156,0.712105799
QN06,65,4577,6390,1.420144199,1.017214397
QN07,34,2843,4629,1.195919803,0.734499892
QN08,85,9628,14917,0.882841712,0.569819669
QN10,120,6941,9287,1.728857513,1.292128782
QN12,128,4747,7280,2.696439857,1.758241758
QN15,106,5658,8803,1.873453517,1.204134954
QN17,237,14175,19884,1.671957672,1.191913096
QN18,83,3530,5373,2.351274788,1.544760841
QN19,106,4775,7117,2.219895288,1.489391598
QN20,184,4802,8811,3.831736776,2.088298718
QN21,178,6924,10261,2.570768342,1.734723711
QN22,86,5394,8931,1.594364108,0.962938081
QN23,66,2259,3666,2.921646746,1.800327332
QN25,74,3900,6850,1.897435897,1.080291971
QN26,45,1999,3936,2.251125563,1.143292683
QN27,37,2326,3782,1.590713672,0.97831835
QN28,159,10601,16539,1.499858504,0.961364049
QN29,120,4928,8760,2.435064935,1.369863014
QN30,92,3505,5471,2.624821683,1.681593859
QN31,123,6596,9543,1.864766525,1.288902861
QN33,32,4784,7026,0.668896321,0.455451181
QN34,132,8191,12610,1.611524844,1.046788263
QN35,74,4045,6480,1.829419036,1.141975309
QN37,69,4984,7755,1.384430177,0.889748549
QN38,69,4825,7482,1.430051813,0.922213312
QN41,54,2724,3763,1.982378855,1.435025246
QN42,78,5091,7129,1.532115498,1.094122598
QN43,66,4214,5854,1.566207879,1.127434233
QN44,55,4324,5940,1.271970398,0.925925926
QN45,102,5571,7464,1.83091007,1.366559486
QN46,160,7529,10741,2.125116217,1.489619216
QN47,75,5397,7225,1.389660923,1.038062284
QN48,67,3269,4890,2.049556439,1.370143149
QN49,157,6213,8770,2.526959601,1.790193843
QN50,41,1681,2998,2.43902439,1.367578386
QN51,121,5683,8742,2.129157135,1.384122626
QN52,61,2345,3885,2.601279318,1.57014157
QN53,107,5122,8418,2.089027724,1.271085769
QN54,109,4705,8218,2.316684378,1.326356778
QN55,174,6950,12260,2.503597122,1.419249592
QN56,72,2258,3798,3.188662533,1.895734597
QN57,185,5935,8178,3.117101938,2.262166789
QN60,63,3385,4794,1.861152142,1.314142678
QN61,68,3920,6849,1.734693878,0.992845671
QN62,40,1675,3013,2.388059701,1.327580485
QN63,81,4300,6603,1.88372093,1.226715129
QN66,38,5882,8677,0.646038762,0.43793938
QN68,48,2311,3615,2.077022934,1.32780083
QN70,146,7829,12472,1.864861413,1.170622194
QN71,54,2725,4196,1.981651376,1.286939943
QN72,106,5871,9608,1.805484585,1.103247294
QN76,64,5284,8372,1.211203634,0.764452938
SI01,203,7555,10772,2.686962277,1.88451541
SI05,249,7923,11856,3.142748959,2.100202429
SI07,164,6955,9481,2.358015816,1.72977534
SI08,71,3393,4977,2.092543472,1.426562186
SI11,197,4941,6830,3.987047156,2.884333821
SI12,109,4413,7084,2.469975074,1.538678713
SI14,69,2478,3834,2.784503632,1.799687011
SI22,103,5478,8076,1.880248266,1.275383853
SI24,191,6755,9781,2.827535159,1.952765566
SI25,182,5689,8124,3.199156266,2.240275726
SI28,91,3521,5310,2.584493042,1.713747646
SI32,178,5120,7214,3.4765625,2.467424452
SI35,72,4517,6259,1.593978304,1.150343505
SI36,161,4451,6790,3.617164682,2.371134021
SI37,105,3718,5823,2.824098978,1.80319423
SI45,141,4483,6600,3.145215258,2.136363636
SI48,218,5871,8553,3.713166411,2.548813282
SI54,355,10975,15509,3.234624146,2.288993488
