aded,boro,nta_name,BLK,CON,DEM,GRE,IND,OTH,REF,REP,WEP,WOR,total_first2016,total_voted_reg2008,total_voted2016,pct_total_first2016_total_voted_reg2008,pct_total_first2016_total_voted2016,pct_dem_first2016,pct_rep_first2016,pct_oth_first2016,trump_votes,clinton_votes,total_votes
27006,Queens,Kew Gardens,4,,17,,1,1,,,,,23,534,774,4.31,2.97,73.91,0,26.09,161,635,948
27007,Queens,Kew Gardens,11,,14,,,,,3,,1,29,502,718,5.78,4.04,48.28,10.34,41.38,118,510,723
27008,Queens,Kew Gardens,4,,19,,1,,,1,,,25,406,626,6.16,3.99,76,4,20,147,583,841
27009,Queens,Kew Gardens,7,,17,,,,,3,,,27,315,538,8.57,5.02,62.96,11.11,25.93,106,621,836
27010,Queens,Briarwood-Jamaica Hills,1,,3,,,,,,,,4,27,40,14.81,10,75,0,25,10,34,50
27011,Queens,Briarwood-Jamaica Hills,4,,17,,3,,,4,,,28,315,493,8.89,5.68,60.71,14.29,25,34,295,361
27012,Queens,Briarwood-Jamaica Hills,7,,14,,2,,,5,,,28,324,513,8.64,5.46,50,17.86,32.14,150,507,747
27013,Queens,Briarwood-Jamaica Hills,5,,31,,1,,,9,,,46,527,710,8.73,6.48,67.39,19.57,13.04,140,551,785
27014,Queens,Briarwood-Jamaica Hills,9,,31,,1,,,7,,,48,536,757,8.96,6.34,64.58,14.58,20.83,131,577,796
27015,Queens,Briarwood-Jamaica Hills,6,2,34,,2,,,9,,,53,359,555,14.76,9.55,64.15,16.98,18.87,118,608,824
27016,Queens,Briarwood-Jamaica Hills,10,,17,,,,,3,,,30,310,496,9.68,6.05,56.67,10,33.33,82,215,338
27017,Queens,Kew Gardens Hills,2,,6,,,,,,,,8,150,245,5.33,3.27,75,0,25,57,177,245
27018,Queens,Kew Gardens,2,,1,,,,,3,,,6,47,65,12.77,9.23,16.67,50,33.33,28,38,73
27019,Queens,Forest Hills,10,,7,,1,,,4,,,22,390,581,5.64,3.79,31.82,18.18,50,119,433,692
27020,Queens,Forest Hills,10,1,14,,1,,,2,,,28,438,690,6.39,4.06,50,7.14,42.86,128,526,741
27021,Queens,Forest Hills,3,,6,,1,,,2,,,12,480,666,2.5,1.8,50,16.67,33.33,114,509,701
27022,Queens,Kew Gardens,4,,11,,1,,,7,,,23,397,546,5.79,4.21,47.83,30.43,21.74,203,305,611
27023,Queens,Whitestone,5,,18,,3,,,5,,,31,546,725,5.68,4.28,58.06,16.13,25.81,390,235,672
27024,Queens,Kew Gardens Hills,4,,8,,,,,4,,,16,422,571,3.79,2.8,50,25,25,299,241,603
27025,Queens,Kew Gardens Hills,3,,6,,,,,7,,,16,439,557,3.64,2.87,37.5,43.75,18.75,410,113,594
27026,Queens,Kew Gardens Hills,2,,7,,2,,,10,,,21,352,505,5.97,4.16,33.33,47.62,19.05,331,139,557
27027,Queens,Kew Gardens Hills,4,,1,,1,,,5,,,11,191,265,5.76,4.15,9.09,45.45,45.45,381,167,636
27028,Queens,Kew Gardens Hills,4,,13,,,,,5,,,22,369,536,5.96,4.1,59.09,22.73,18.18,206,396,680
27029,Queens,Kew Gardens Hills,2,,6,,,,,,,,8,268,450,2.99,1.78,75,0,25,97,255,375
27030,Queens,Kew Gardens Hills,1,,11,,2,,,6,,,20,293,441,6.83,4.54,55,30,15,261,164,495
27031,Queens,Kew Gardens Hills,,,7,,,,,,,,7,44,70,15.91,10,100,0,0,13,58,74
27032,Queens,Kew Gardens Hills,1,,1,,1,,,,,,3,54,89,5.56,3.37,33.33,0,66.67,17,69,90
27033,Queens,Pomonok-Flushing Heights-Hillcrest,,,4,,,,,,,,4,61,82,6.56,4.88,100,0,0,14,68,96
27034,Queens,Kew Gardens Hills,5,,11,,,,,2,,,18,326,489,5.52,3.68,61.11,11.11,27.78,71,231,390
27035,Queens,Pomonok-Flushing Heights-Hillcrest,3,,13,,1,,,4,,,21,431,601,4.87,3.49,61.9,19.05,19.05,162,501,745
27036,Queens,Kew Gardens Hills,,1,6,,1,,,,,,8,313,467,2.56,1.71,75,0,25,229,386,694
27037,Queens,Pomonok-Flushing Heights-Hillcrest,,1,6,,,,,,,2,9,513,674,1.75,1.34,66.67,0,33.33,114,515,716
27038,Queens,Pomonok-Flushing Heights-Hillcrest,,,9,,1,,,4,,,14,402,536,3.48,2.61,64.29,28.57,7.14,140,648,861
27039,Queens,Pomonok-Flushing Heights-Hillcrest,1,,10,,,,,,,,11,367,508,3,2.17,90.91,0,9.09,99,466,627
27040,Queens,Pomonok-Flushing Heights-Hillcrest,4,,12,,2,,,1,,,19,389,505,4.88,3.76,63.16,5.26,31.58,81,545,707
27041,Queens,Pomonok-Flushing Heights-Hillcrest,1,,7,,,,,,,1,9,257,337,3.5,2.67,77.78,0,22.22,47,527,626
27042,Queens,Kew Gardens Hills,1,,16,,,,,4,,,21,397,573,5.29,3.66,76.19,19.05,4.76,124,503,680
27043,Queens,Kew Gardens Hills,6,,9,,,,,4,,1,20,237,331,8.44,6.04,45,20,35,137,182,366
27044,Queens,Kew Gardens Hills,5,,17,,1,,,3,,,26,363,504,7.16,5.16,65.38,11.54,23.08,113,343,496
27045,Queens,Kew Gardens Hills,7,,16,,2,,,4,,1,30,439,615,6.83,4.88,53.33,13.33,33.33,133,494,688
27046,Queens,Forest Hills,1,,2,,,,,4,,,7,152,207,4.61,3.38,28.57,57.14,14.29,107,92,235
27047,Queens,Forest Hills,2,,12,,1,,,1,,,16,303,471,5.28,3.4,75,6.25,18.75,180,447,700
27048,Queens,Forest Hills,6,,11,,1,,,9,,,27,297,449,9.09,6.01,40.74,33.33,25.93,261,329,663
27049,Queens,Forest Hills,6,,10,,2,,,10,,,28,324,445,8.64,6.29,35.71,35.71,28.57,261,320,645
27050,Queens,Forest Hills,11,,14,,2,,,7,,,34,319,463,10.66,7.34,41.18,20.59,38.24,197,265,510
27051,Queens,Whitestone,12,1,12,,2,,,16,,,43,586,754,7.34,5.7,27.91,37.21,34.88,537,260,878
27052,Queens,Forest Hills,14,,9,,,,,5,,,28,375,559,7.47,5.01,32.14,17.86,50,171,353,573
27053,Queens,Forest Hills,10,,17,,2,,,7,,,36,315,476,11.43,7.56,47.22,19.44,33.33,215,258,529
27054,Queens,Forest Hills,11,,14,,1,,,6,,,32,331,517,9.67,6.19,43.75,18.75,37.5,152,244,556
27055,Queens,Forest Hills,6,,11,,1,,,4,,,22,301,412,7.31,5.34,50,18.18,31.82,115,282,428
27056,Queens,Forest Hills,1,,14,,,,,1,,,16,327,403,4.89,3.97,87.5,6.25,6.25,88,312,425
27057,Queens,Whitestone,4,,7,,4,,,15,,,30,296,375,10.14,8,23.33,50,26.67,240,117,396
27059,Queens,College Point,8,,18,,,,,10,,,36,355,559,10.14,6.44,50,27.78,22.22,245,292,593
27060,Queens,College Point,4,,9,,,,,6,,,19,269,404,7.06,4.7,47.37,31.58,21.05,122,280,509
27061,Queens,College Point,6,1,11,,,,,5,,,23,301,502,7.64,4.58,47.83,21.74,30.43,161,332,537
27062,Queens,College Point,5,,6,,,,,6,,,17,294,512,5.78,3.32,35.29,35.29,29.41,158,322,519
27063,Queens,College Point,4,,16,,3,,,,,,23,325,530,7.08,4.34,69.57,0,30.43,203,393,661
27064,Queens,College Point,10,,19,,1,,,7,,,37,323,557,11.46,6.64,51.35,18.92,29.73,200,469,735
27065,Queens,College Point,7,,15,1,,,,6,,,29,336,502,8.63,5.78,51.72,20.69,27.59,251,370,682
27066,Queens,College Point,11,,14,,2,,,4,,,31,366,552,8.47,5.62,45.16,12.9,41.94,224,392,689
27067,Queens,College Point,6,,12,,,,,2,,,20,333,546,6.01,3.66,60,10,30,211,405,671
27068,Queens,College Point,8,,15,,3,,,10,,,36,382,584,9.42,6.16,41.67,27.78,30.56,247,360,651
27079,Queens,Pomonok-Flushing Heights-Hillcrest,10,,15,,,,,5,,,30,237,381,12.66,7.87,50,16.67,33.33,95,296,432
27080,Queens,Kew Gardens Hills,11,,7,,,,,7,,,25,293,440,8.53,5.68,28,28,44,123,305,473
27081,Queens,College Point,10,,7,,1,,,3,,,21,370,581,5.68,3.61,33.33,14.29,52.38,228,352,618
27082,Queens,Richmond Hill,3,,12,,1,,,3,,,19,195,358,9.74,5.31,63.16,15.79,21.05,0,0,0
27083,Queens,Kew Gardens,5,,14,,,,,5,,,24,421,617,5.7,3.89,58.33,20.83,20.83,0,0,0
