aded,boro,nta_name,BLK,CON,DEM,GRE,IND,OTH,REF,REP,WEP,WOR,total_first2016,total_voted_reg2008,total_voted2016,pct_total_first2016_total_voted_reg2008,pct_total_first2016_total_voted2016,pct_dem_first2016,pct_rep_first2016,pct_oth_first2016,trump_votes,clinton_votes,total_votes
33057,Queens,Cambria Heights,1,,5,,,,,1,,,7,506,653,1.38,1.07,71.43,14.29,14.29,23,700,793
33058,Queens,Cambria Heights,1,,9,,,,,3,,,13,471,652,2.76,1.99,69.23,23.08,7.69,20,680,756
33059,Queens,Cambria Heights,1,,9,,1,,,,,,11,486,640,2.26,1.72,81.82,0,18.18,22,674,755
33060,Queens,St. Albans,2,,15,,,,,1,,,18,496,652,3.63,2.76,83.33,5.56,11.11,15,630,703
33061,Queens,St. Albans,1,,10,,1,,,,,1,13,401,579,3.24,2.25,76.92,0,23.08,14,624,686
33062,Queens,St. Albans,,,10,,1,,,,,,11,475,658,2.32,1.67,90.91,0,9.09,19,736,804
33063,Queens,Cambria Heights,4,,8,,,,,1,,,13,476,642,2.73,2.02,61.54,7.69,30.77,11,699,763
33064,Queens,Cambria Heights,2,,9,,1,,,,,,12,499,665,2.4,1.8,75,0,25,21,681,769
33065,Queens,Cambria Heights,2,,12,,,,,,,,14,545,713,2.57,1.96,85.71,0,14.29,16,776,851
33066,Queens,Cambria Heights,1,,6,,1,,,1,,,9,539,663,1.67,1.36,66.67,11.11,22.22,11,616,688
33067,Queens,Cambria Heights,,,7,,1,,,,,,8,501,659,1.6,1.21,87.5,0,12.5,18,696,767
33068,Queens,Cambria Heights,2,,16,,,,,,,,18,495,630,3.64,2.86,88.89,0,11.11,16,743,809
33069,Queens,Cambria Heights,1,,5,,,,,1,,,7,527,683,1.33,1.02,71.43,14.29,14.29,11,543,589
33070,Queens,Cambria Heights,6,,13,,,,,2,,,21,548,691,3.83,3.04,61.9,9.52,28.57,13,515,568
33071,Queens,Cambria Heights,2,,9,,,,,,,,11,552,693,1.99,1.59,81.82,0,18.18,16,517,584
33072,Queens,Hollis,4,,13,,,,,,,,17,402,565,4.23,3.01,76.47,0,23.53,13,521,584
33073,Queens,Queens Village,3,,18,,,,,2,,,23,439,619,5.24,3.72,78.26,8.7,13.04,24,544,617
33074,Queens,Queens Village,6,1,16,,1,,,3,,,27,420,614,6.43,4.4,59.26,11.11,29.63,77,425,551
33075,Queens,Glen Oaks-Floral Park-New Hyde Park,3,,14,1,1,1,,4,,,24,413,632,5.81,3.8,58.33,16.67,25,0,0,0
33076,Queens,Jamaica Estates-Holliswood,3,,24,,1,,,2,,,30,375,582,8,5.15,80,6.67,13.33,0,0,0
33077,Queens,Hollis,1,,9,,,,,1,,,11,419,583,2.63,1.89,81.82,9.09,9.09,0,0,0
33078,Queens,St. Albans,1,,8,,1,,,,,,10,432,578,2.31,1.73,80,0,20,0,0,0
33079,Queens,Queens Village,2,,8,,,,,,,,10,379,559,2.64,1.79,80,0,20,0,0,0
34001,Queens,North Corona,4,,21,,1,,,1,,,27,246,480,10.98,5.63,77.78,3.7,18.52,60,638,747
34002,Queens,Jackson Heights,4,,10,,,,,3,,,17,235,477,7.23,3.56,58.82,17.65,23.53,113,488,661
34003,Queens,North Corona,4,,16,,,,,,,,20,265,538,7.55,3.72,80,0,20,72,552,676
34004,Queens,North Corona,1,,12,,,,,4,,,17,269,471,6.32,3.61,70.59,23.53,5.88,81,581,726
34005,Queens,North Corona,2,,12,,1,,,1,,,16,306,514,5.23,3.11,75,6.25,18.75,56,528,624
34006,Queens,Jackson Heights,6,,15,,1,,,1,,,23,231,432,9.96,5.32,65.22,4.35,30.43,49,364,436
34007,Queens,Jackson Heights,,,10,,,,,3,,,13,178,364,7.3,3.57,76.92,23.08,0,69,544,659
34008,Queens,Jackson Heights,4,,15,,,1,,1,,1,22,361,617,6.09,3.57,68.18,4.55,27.27,103,501,681
34009,Queens,Jackson Heights,2,,8,,,,,3,,,13,267,513,4.87,2.53,61.54,23.08,15.38,76,579,729
34010,Queens,Jackson Heights,7,,15,,,,,1,,,23,297,488,7.74,4.71,65.22,4.35,30.43,134,545,737
34011,Queens,Jackson Heights,4,,7,,1,,,2,,,14,265,434,5.28,3.23,50,14.29,35.71,84,391,528
34012,Queens,East Elmhurst,2,,26,1,,,,3,,,32,282,494,11.35,6.48,81.25,9.38,9.38,75,399,515
34013,Queens,Jackson Heights,7,,7,,1,,,4,,,19,288,495,6.6,3.84,36.84,21.05,42.11,115,592,760
34015,Queens,Jackson Heights,,,11,,1,,,3,,1,16,365,614,4.38,2.61,68.75,18.75,12.5,88,507,655
34016,Queens,Jackson Heights,2,,10,,,,,6,,,18,534,721,3.37,2.5,55.56,33.33,11.11,145,531,743
34017,Queens,Jackson Heights,7,,17,,,,,2,,,26,432,584,6.02,4.45,65.38,7.69,26.92,158,475,711
34018,Queens,Jackson Heights,2,,5,,,,,4,,,11,194,347,5.67,3.17,45.45,36.36,18.18,131,650,867
34019,Queens,Jackson Heights,6,,19,,,,,4,,,29,519,665,5.59,4.36,65.52,13.79,20.69,145,559,777
34020,Queens,Jackson Heights,2,,10,,1,,,1,,,14,388,600,3.61,2.33,71.43,7.14,21.43,108,589,756
34021,Queens,Jackson Heights,1,,10,,,,,3,,,14,276,508,5.07,2.76,71.43,21.43,7.14,88,649,804
34022,Queens,Jackson Heights,9,,14,,,,,1,,,24,512,767,4.69,3.13,58.33,4.17,37.5,124,610,821
34023,Queens,Jackson Heights,8,,11,,1,,,4,,,24,355,667,6.76,3.6,45.83,16.67,37.5,95,533,686
34024,Queens,Jackson Heights,6,,15,,1,,,1,,,23,357,595,6.44,3.87,65.22,4.35,30.43,146,700,935
34025,Queens,Jackson Heights,,1,6,,1,,,3,,,11,497,672,2.21,1.64,54.55,27.27,18.18,117,706,934
34026,Queens,Jackson Heights,7,,19,,1,,,1,,,28,414,745,6.76,3.76,67.86,3.57,28.57,115,585,786
34027,Queens,Jackson Heights,5,,15,,,,,3,,,23,333,543,6.91,4.24,65.22,13.04,21.74,95,436,592
34028,Queens,Jackson Heights,5,,8,,1,,,1,,,15,275,446,5.45,3.36,53.33,6.67,40,122,640,837
34029,Queens,Jackson Heights,4,,13,,,,,3,,,20,279,521,7.17,3.84,65,15,20,98,537,733
34030,Queens,Jackson Heights,,,1,,,,,,,,1,11,23,9.09,4.35,100,0,0,3,29,50
34031,Queens,Jackson Heights,1,,2,,,,,,,,3,90,174,3.33,1.72,66.67,0,33.33,19,152,204
34032,Queens,Jackson Heights,2,,3,,,,,,,,5,48,110,10.42,4.55,60,0,40,19,91,122
34033,Queens,Jackson Heights,3,,3,,,,,1,,,7,49,102,14.29,6.86,42.86,14.29,42.86,18,83,105
34034,Queens,Elmhurst,,,1,,,,,,,,1,82,144,1.22,0.69,100,0,0,24,125,178
34035,Queens,Jackson Heights,6,,19,,,,,3,,,28,285,576,9.82,4.86,67.86,10.71,21.43,107,558,732
34036,Queens,Jackson Heights,5,,26,,1,,,2,,,34,368,603,9.24,5.64,76.47,5.88,17.65,118,554,728
34037,Queens,Jackson Heights,8,,15,,,,,5,,,28,304,543,9.21,5.16,53.57,17.86,28.57,137,491,701
34038,Queens,Jackson Heights,9,,15,,1,,,3,,,28,331,668,8.46,4.19,53.57,10.71,35.71,109,536,681
34039,Queens,Jackson Heights,1,,19,,,,,3,,,23,312,533,7.37,4.32,82.61,13.04,4.35,124,567,745
34040,Queens,Jackson Heights,2,,17,,1,,,3,,,23,320,545,7.19,4.22,73.91,13.04,13.04,132,397,575
34041,Queens,Jackson Heights,6,,19,1,,,,,,,26,339,556,7.67,4.68,73.08,0,26.92,149,401,604
34042,Queens,Jackson Heights,6,,14,,1,,,4,,,25,221,435,11.31,5.75,56,16,28,72,347,460
34043,Queens,Woodside,4,,2,,,,,,,,6,110,201,5.45,2.99,33.33,0,66.67,31,168,213
34044,Queens,Woodside,,,3,,2,,,1,,1,7,109,228,6.42,3.07,42.86,14.29,42.86,26,194,240
34045,Queens,Woodside,5,,9,,,,,1,,,15,313,608,4.79,2.47,60,6.67,33.33,150,551,769
34046,Queens,Elmhurst-Maspeth,4,,9,,,,,4,,,17,244,532,6.97,3.2,52.94,23.53,23.53,82,329,445
34048,Queens,Woodside,1,,2,,,,,1,,,4,153,267,2.61,1.5,50,25,25,62,203,289
34049,Queens,Woodside,7,,17,,,,,3,,,27,224,492,12.05,5.49,62.96,11.11,25.93,114,593,766
34050,Queens,Woodside,6,,12,,,,,,,,18,271,539,6.64,3.34,66.67,0,33.33,95,579,729
34051,Queens,Woodside,2,,12,,,,,2,,,16,268,554,5.97,2.89,75,12.5,12.5,126,614,812
34052,Queens,Woodside,3,,10,,,,,4,,,17,269,564,6.32,3.01,58.82,23.53,17.65,119,536,725
34053,Queens,Elmhurst-Maspeth,,,3,,,,,,,,3,21,49,14.29,6.12,100,0,0,16,61,105
34054,Queens,Elmhurst-Maspeth,1,,1,,,,,,,,2,3,8,66.67,25,50,0,50,0,0,0
34056,Queens,Elmhurst-Maspeth,,,3,,,,,,,,3,58,96,5.17,3.13,100,0,0,20,66,95
34057,Queens,Elmhurst-Maspeth,1,,2,,,,,,,,3,47,114,6.38,2.63,66.67,0,33.33,19,118,154
34059,Queens,Elmhurst-Maspeth,1,,,,,,,,,,1,14,28,7.14,3.57,0,0,100,4,22,28
34060,Queens,Elmhurst-Maspeth,3,,8,,1,,,5,,,17,237,496,7.17,3.43,47.06,29.41,23.53,91,397,530
34061,Queens,Elmhurst-Maspeth,1,,1,,,,,1,,,3,20,48,15,6.25,33.33,33.33,33.33,5,42,48
34062,Queens,Elmhurst-Maspeth,1,,2,,,,,1,,,4,72,137,5.56,2.92,50,25,25,42,93,147
34063,Queens,Jackson Heights,3,,19,,,,,7,,1,30,551,836,5.44,3.59,63.33,23.33,13.33,88,710,893
34065,Queens,Jackson Heights,1,,17,,1,,,2,,,21,349,613,6.02,3.43,80.95,9.52,9.52,0,0,0
34066,Queens,Jackson Heights,4,,8,,,,,1,,1,14,277,522,5.05,2.68,57.14,7.14,35.71,0,0,0
34067,Queens,Jackson Heights,2,,25,,,,,1,,,28,281,547,9.96,5.12,89.29,3.57,7.14,0,0,0
34068,Queens,Jackson Heights,4,,12,,,,,4,,,20,471,693,4.25,2.89,60,20,20,0,0,0
34069,Queens,Jackson Heights,4,,9,,,,,,,,13,299,609,4.35,2.13,69.23,0,30.77,0,0,0
34070,Queens,Woodside,1,,2,,,,,,,,3,98,157,3.06,1.91,66.67,0,33.33,0,0,0
34071,Queens,Woodside,3,,14,,1,,,3,,,21,241,520,8.71,4.04,66.67,14.29,19.05,0,0,0
34072,Queens,Jackson Heights,4,,15,,,,,4,,,23,480,663,4.79,3.47,65.22,17.39,17.39,0,0,0
34073,Queens,Jackson Heights,3,,14,,,,,2,,,19,276,442,6.88,4.3,73.68,10.53,15.79,0,0,0
35001,Queens,Elmhurst,1,,5,,,,,,,,6,54,97,11.11,6.19,83.33,0,16.67,23,73,106
35002,Queens,Elmhurst-Maspeth,1,,10,,,,,2,,,13,269,489,4.83,2.66,76.92,15.38,7.69,120,453,621
35003,Queens,Elmhurst,5,,12,,1,,,4,,,22,273,513,8.06,4.29,54.55,18.18,27.27,141,373,553
35004,Queens,Elmhurst,5,,11,,,,,2,,,18,253,552,7.11,3.26,61.11,11.11,27.78,70,281,381
35005,Queens,Elmhurst,4,,11,,1,,,3,,,19,289,476,6.57,3.99,57.89,15.79,26.32,155,403,611
35006,Queens,Elmhurst,5,,14,,2,,,2,,,23,319,553,7.21,4.16,60.87,8.7,30.43,112,472,658
35007,Queens,Elmhurst,3,,23,,1,,,4,,,31,274,577,11.31,5.37,74.19,12.9,12.9,124,559,729
35008,Queens,Elmhurst,9,,10,,,,,,,,19,216,482,8.8,3.94,52.63,0,47.37,142,451,642
35009,Queens,Elmhurst,5,,13,,1,,,4,,,23,335,514,6.87,4.47,56.52,17.39,26.09,147,527,756
35010,Queens,Elmhurst,11,,13,,,,,6,,,30,321,512,9.35,5.86,43.33,20,36.67,116,488,681
35011,Queens,Elmhurst,8,,11,,1,,,2,,,22,287,499,7.67,4.41,50,9.09,40.91,112,443,617
35012,Queens,Elmhurst,4,,18,,,,,3,,,25,368,596,6.79,4.19,72,12,16,81,453,580
35013,Queens,North Corona,4,,19,,1,,,3,,,27,269,525,10.04,5.14,70.37,11.11,18.52,44,473,600
35014,Queens,Corona,5,,15,,,,,3,,,23,191,377,12.04,6.1,65.22,13.04,21.74,79,429,548
35015,Queens,Corona,,,15,,1,,,3,,,19,403,646,4.71,2.94,78.95,15.79,5.26,47,597,700
35016,Queens,Corona,5,,12,,1,,,1,,,19,423,657,4.49,2.89,63.16,5.26,31.58,49,598,710
35017,Queens,Corona,2,,15,1,1,,,3,,,22,414,634,5.31,3.47,68.18,13.64,18.18,50,558,674
35018,Queens,Corona,3,,19,,1,,,,,,23,427,694,5.39,3.31,82.61,0,17.39,49,646,763
35019,Queens,Corona,2,,8,,,,,,,1,11,302,459,3.64,2.4,72.73,0,27.27,41,565,654
35020,Queens,East Elmhurst,2,,8,,,,,2,,,12,447,653,2.68,1.84,66.67,16.67,16.67,51,717,818
35021,Queens,Corona,1,,23,,,,,2,,,26,437,581,5.95,4.48,88.46,7.69,3.85,116,606,793
35022,Queens,Corona,,1,20,,2,1,,4,,,28,452,684,6.19,4.09,71.43,14.29,14.29,59,337,442
35023,Queens,Forest Hills,11,,10,,,,,8,,,29,282,454,10.28,6.39,34.48,27.59,37.93,225,556,869
35024,Queens,Rego Park,3,,12,,,,,2,,,17,345,529,4.93,3.21,70.59,11.76,17.65,162,376,591
35025,Queens,Corona,1,,23,,,,,2,,,26,492,772,5.28,3.37,88.46,7.69,3.85,39,730,809
35026,Queens,Rego Park,10,,14,,1,,,3,,,28,322,454,8.7,6.17,50,10.71,39.29,155,285,483
35027,Queens,Rego Park,8,,13,,,,,5,,,26,310,439,8.39,5.92,50,19.23,30.77,246,369,694
35028,Queens,Corona,3,,10,,,,,,,,13,142,274,9.15,4.74,76.92,0,23.08,36,237,296
35030,Queens,Forest Hills,3,,5,,,,,1,,,9,107,184,8.41,4.89,55.56,11.11,33.33,85,90,191
35032,Queens,Corona,1,,23,,2,,,3,,,29,334,584,8.68,4.97,79.31,10.34,10.34,43,378,446
35033,Queens,Elmhurst,5,,17,2,,,,3,,,27,310,552,8.71,4.89,62.96,11.11,25.93,115,410,595
35035,Queens,Corona,2,,12,,1,,,1,,,16,198,322,8.08,4.97,75,6.25,18.75,53,264,523
35036,Queens,Elmhurst,,,1,,,,,,,,1,28,45,3.57,2.22,100,0,0,8,37,54
35037,Queens,Corona,7,,15,,,,,4,,,26,271,542,9.59,4.8,57.69,15.38,26.92,88,493,637
35038,Queens,Corona,2,,14,,,,,,,,16,421,644,3.8,2.48,87.5,0,12.5,39,539,629
35039,Queens,North Corona,3,,7,,,,,3,,,13,248,497,5.24,2.62,53.85,23.08,23.08,51,453,551
35040,Queens,North Corona,2,,28,,,,,2,,,32,227,446,14.1,7.17,87.5,6.25,6.25,71,515,639
35041,Queens,North Corona,4,,12,,,,,,,1,17,258,511,6.59,3.33,70.59,0,29.41,52,596,702
35042,Queens,North Corona,4,,17,,,,,1,,,22,273,504,8.06,4.37,77.27,4.55,18.18,40,461,537
35043,Queens,North Corona,3,,23,,,,,,,,26,341,569,7.62,4.57,88.46,0,11.54,44,603,707
35044,Queens,North Corona,3,,13,,,,,,,1,17,294,559,5.78,3.04,76.47,0,23.53,29,483,559
35045,Queens,East Elmhurst,3,,12,,,,,1,,,16,303,511,5.28,3.13,75,6.25,18.75,58,538,650
35046,Queens,East Elmhurst,2,,24,,,,,2,1,,29,347,564,8.36,5.14,82.76,6.9,10.34,43,484,569
35047,Queens,East Elmhurst,2,,17,,,,,3,,,22,363,594,6.06,3.7,77.27,13.64,9.09,52,623,726
35048,Queens,East Elmhurst,4,,17,,,,,2,,,23,427,680,5.39,3.38,73.91,8.7,17.39,53,685,793
35049,Queens,Jackson Heights,2,,5,,,,,5,,,12,228,405,5.26,2.96,41.67,41.67,16.67,50,241,325
35050,Queens,Jackson Heights,2,,16,,,,,2,,,20,349,592,5.73,3.38,80,10,10,121,556,736
35051,Queens,East Elmhurst,4,,17,,,,,1,,,22,383,618,5.74,3.56,77.27,4.55,18.18,59,661,786
35052,Queens,East Elmhurst,2,,15,,,,,2,,,19,447,629,4.25,3.02,78.95,10.53,10.53,59,645,846
35053,Queens,East Elmhurst,3,,6,,,,,1,,,10,410,610,2.44,1.64,60,10,30,50,694,790
35063,Queens,Elmhurst,4,,18,,1,,,,,,23,287,578,8.01,3.98,78.26,0,21.74,0,0,0
35064,Queens,Rego Park,8,,12,,1,1,,6,,,28,301,500,9.3,5.6,42.86,21.43,35.71,0,0,0
35065,Queens,North Corona,4,,14,,,,,1,,,19,264,482,7.2,3.94,73.68,5.26,21.05,0,0,0
35066,Queens,East Elmhurst,2,,12,,2,,,4,,,20,372,571,5.38,3.5,60,20,20,0,0,0
36001,Queens,Astoria,2,,9,,,,,2,,1,14,577,725,2.43,1.93,64.29,14.29,21.43,173,610,869
36002,Queens,Astoria,2,,9,,,,,3,,,14,396,526,3.54,2.66,64.29,21.43,14.29,175,640,894
36003,Queens,Astoria,2,,7,,,,,1,,,10,203,388,4.93,2.58,70,10,20,100,634,811
36004,Queens,Astoria,5,,12,,1,,,2,,,20,301,601,6.64,3.33,60,10,30,117,490,692
36005,Queens,Astoria,4,,7,,2,,,2,,,15,232,466,6.47,3.22,46.67,13.33,40,119,655,875
36006,Queens,Astoria,3,,5,,,2,,2,,,12,319,704,3.76,1.7,41.67,16.67,41.67,87,616,811
36007,Queens,Astoria,3,,11,,,,,2,,,16,146,418,10.96,3.83,68.75,12.5,18.75,103,662,861
36008,Queens,Astoria,4,,13,,,,,3,,,20,419,709,4.77,2.82,65,15,20,113,670,872
36009,Queens,Astoria,,,9,,,,,1,,1,11,171,367,6.43,3,81.82,9.09,9.09,131,683,897
36010,Queens,Astoria,5,,15,,,,,4,,,24,225,574,10.67,4.18,62.5,16.67,20.83,127,746,970
36011,Queens,Old Astoria,4,,20,,,,,1,,,25,321,630,7.79,3.97,80,4,16,103,634,819
36012,Queens,Old Astoria,2,,13,,,,,2,,,17,285,600,5.96,2.83,76.47,11.76,11.76,108,787,1013
36013,Queens,Old Astoria,4,,7,,,,,2,,,13,273,529,4.76,2.46,53.85,15.38,30.77,123,585,787
36014,Queens,Old Astoria,4,1,18,,2,,,3,,,28,327,628,8.56,4.46,64.29,10.71,25,135,571,803
36015,Queens,Old Astoria,2,,6,,1,,,3,,,12,278,575,4.32,2.09,50,25,25,112,632,845
36016,Queens,Old Astoria,2,,10,,2,,,3,,,17,221,555,7.69,3.06,58.82,17.65,23.53,123,751,970
36017,Queens,Astoria,2,,11,,,,,,,,13,220,559,5.91,2.33,84.62,0,15.38,96,597,787
36018,Queens,Astoria,2,,5,,1,,,5,,,13,303,669,4.29,1.94,38.46,38.46,23.08,115,630,819
36019,Queens,Astoria,3,,11,,,,,4,,,18,297,650,6.06,2.77,61.11,22.22,16.67,109,640,867
36020,Queens,Astoria,3,,8,,,,,3,,,14,319,631,4.39,2.22,57.14,21.43,21.43,107,812,1022
36021,Queens,Astoria,8,,21,,1,,,3,,,33,315,682,10.48,4.84,63.64,9.09,27.27,82,603,784
36022,Manhattan,Lenox Hill-Roosevelt Island,,,14,,1,,,6,,,21,309,671,6.8,3.13,66.67,28.57,4.76,109,577,783
36023,Queens,Astoria,10,,9,,,,,2,,,21,221,566,9.5,3.71,42.86,9.52,47.62,96,454,632
36024,Queens,Astoria,3,,11,1,1,,,1,,,17,253,570,6.72,2.98,64.71,5.88,29.41,99,588,793
36025,Queens,Astoria,4,,7,,,,,4,,,15,253,538,5.93,2.79,46.67,26.67,26.67,89,446,613
36026,Queens,Astoria,7,,11,,2,,,3,,,23,267,545,8.61,4.22,47.83,13.04,39.13,105,421,572
36027,Queens,Astoria,7,,5,,,,,2,,,14,319,642,4.39,2.18,35.71,14.29,50,146,541,774
36028,Queens,Astoria,3,,15,,,,,1,,,19,298,612,6.38,3.1,78.95,5.26,15.79,130,453,663
36029,Queens,Woodside,6,,9,,2,,,8,,1,26,318,563,8.18,4.62,34.62,30.77,34.62,173,361,611
36030,Queens,Astoria,6,1,10,,2,,,6,,,25,331,655,7.55,3.82,40,24,36,133,431,631
36031,Queens,Astoria,7,,12,,,,,5,,,24,319,689,7.52,3.48,50,20.83,29.17,139,541,770
36032,Queens,Astoria,5,1,9,,,,,2,,,17,295,594,5.76,2.86,52.94,11.76,35.29,115,477,667
36033,Queens,Steinway,1,,7,,1,,,4,1,,14,230,388,6.09,3.61,50,28.57,21.43,196,579,859
36034,Queens,Steinway,4,,7,,1,,,4,,,16,245,535,6.53,2.99,43.75,25,31.25,134,564,780
36035,Queens,Steinway,1,,15,,,,,2,,,18,292,564,6.16,3.19,83.33,11.11,5.56,128,567,784
36036,Queens,Steinway,3,,13,,1,,,9,,,26,306,630,8.5,4.13,50,34.62,15.38,116,676,899
36037,Queens,Steinway,4,,9,,,,,5,,,18,351,620,5.13,2.9,50,27.78,22.22,148,602,831
36038,Queens,Steinway,3,,12,,,,,3,,,18,329,549,5.47,3.28,66.67,16.67,16.67,174,607,883
36039,Queens,Steinway,3,,11,,,,,1,,,15,284,561,5.28,2.67,73.33,6.67,20,155,563,804
36040,Queens,Steinway,2,,18,,2,,,3,,,25,378,690,6.61,3.62,72,12,16,154,571,795
36041,Queens,Steinway,2,,9,,,,,2,,,13,443,721,2.93,1.8,69.23,15.38,15.38,195,548,834
36042,Queens,Steinway,3,,12,,,,,,,,15,388,610,3.87,2.46,80,0,20,139,464,662
36043,Queens,Woodside,2,,2,,,,,1,,,5,90,140,5.56,3.57,40,20,40,39,100,155
36044,Queens,Jackson Heights,,,5,,,,,,,,5,40,79,12.5,6.33,100,0,0,7,67,80
36045,Queens,Old Astoria,6,,8,,2,,,3,,1,20,253,616,7.91,3.25,40,15,45,66,342,473
36046,Queens,Steinway,4,,22,,,,,4,,,30,286,416,10.49,7.21,73.33,13.33,13.33,223,329,607
36047,Queens,Steinway,6,,13,,,1,,4,,,24,382,524,6.28,4.58,54.17,16.67,29.17,225,386,678
36048,Queens,Steinway,4,1,16,,1,,,3,,1,26,321,464,8.1,5.6,61.54,11.54,26.92,245,396,723
36049,Queens,Astoria,4,,12,,2,,,6,,,24,317,720,7.57,3.33,50,25,25,118,584,782
36050,Queens,Jackson Heights,1,,7,,,,,3,,,11,118,166,9.32,6.63,63.64,27.27,9.09,51,112,175
36051,Queens,Woodside,,,2,,,,,,,,2,33,77,6.06,2.6,100,0,0,14,57,74
36052,Queens,Old Astoria,2,,18,,,,,4,,,24,326,682,7.36,3.52,75,16.67,8.33,99,548,726
36053,Queens,Steinway,9,,14,,,,,8,,,31,420,663,7.38,4.68,45.16,25.81,29.03,255,464,800
36054,Queens,Steinway,2,,11,,,,,6,,,19,417,625,4.56,3.04,57.89,31.58,10.53,170,229,444
36055,Queens,Steinway,4,,11,,,,,3,,,18,341,653,5.28,2.76,61.11,16.67,22.22,204,506,782
36056,Queens,Steinway,1,,8,,,1,,1,,,11,270,573,4.07,1.92,72.73,9.09,18.18,117,433,632
36057,Queens,Steinway,1,,9,1,1,,,,,,12,281,520,4.27,2.31,75,0,25,164,486,736
36058,Queens,Steinway,1,,9,,,,,3,,,13,256,508,5.08,2.56,69.23,23.08,7.69,108,484,675
36059,Queens,Steinway,4,2,19,,,,,1,,,26,333,601,7.81,4.33,73.08,3.85,23.08,105,469,647
36060,Queens,Steinway,4,,6,,,,,1,,,11,248,478,4.44,2.3,54.55,9.09,36.36,124,560,764
36061,Queens,Steinway,2,,17,,2,,,4,,,25,442,708,5.66,3.53,68,16,16,143,534,736
36062,Queens,Steinway,2,,15,1,,,,2,,1,21,311,509,6.75,4.13,71.43,9.52,19.05,98,383,541
36063,Queens,Steinway,4,,13,,1,,,2,,,20,344,493,5.81,4.06,65,10,25,80,408,517
36064,Queens,Astoria,4,,12,,,,,1,,,17,296,627,5.74,2.71,70.59,5.88,23.53,84,540,687
36065,Queens,Astoria,2,,5,,,,,3,,,10,92,204,10.87,4.9,50,30,20,26,173,229
36066,Queens,Astoria,1,,8,,1,,,1,,1,12,241,561,4.98,2.14,66.67,8.33,25,70,481,605
36067,Queens,Steinway,4,,7,,,,,1,,,12,272,550,4.41,2.18,58.33,8.33,33.33,139,568,792
36072,Queens,Old Astoria,4,,7,,1,,,5,1,,18,333,684,5.41,2.63,38.89,27.78,33.33,0,0,0
36073,Queens,Astoria,4,,8,,1,,,3,,,16,313,702,5.11,2.28,50,18.75,31.25,0,0,0
36074,Queens,Astoria,4,,2,,2,,,1,,,9,239,527,3.77,1.71,22.22,11.11,66.67,0,0,0
36075,Queens,Astoria,6,,12,1,,,,5,,,24,280,491,8.57,4.89,50,20.83,29.17,0,0,0
36076,Queens,Astoria,2,,18,,1,,,,,,21,336,704,6.25,2.98,85.71,0,14.29,0,0,0
36077,Queens,Astoria,3,,12,,,,,4,,,19,343,747,5.54,2.54,63.16,21.05,15.79,0,0,0
36078,Queens,Astoria,3,,11,,2,,,3,,,19,285,457,6.67,4.16,57.89,15.79,26.32,0,0,0
36079,Queens,Steinway,5,1,6,,,,,5,,,17,230,426,7.39,3.99,35.29,29.41,35.29,0,0,0
36080,Queens,Steinway,4,,6,,,,,4,,,14,256,486,5.47,2.88,42.86,28.57,28.57,0,0,0
36081,Queens,Steinway,4,,15,,1,,,6,,,26,353,676,7.37,3.85,57.69,23.08,19.23,0,0,0
36082,Queens,Steinway,1,,11,,2,,,3,,,17,338,578,5.03,2.94,64.71,17.65,17.65,0,0,0
36083,Queens,Steinway,1,,9,,2,,,7,,,19,311,475,6.11,4,47.37,36.84,15.79,0,0,0
37001,Queens,Old Astoria,3,,15,,1,,,2,,,21,381,620,5.51,3.39,71.43,9.52,19.05,148,607,818
37002,Queens,Old Astoria,2,,20,,,,,4,,,26,383,599,6.79,4.34,76.92,15.38,7.69,45,520,617
37003,Queens,Old Astoria,2,,17,,1,,,2,,,22,364,557,6.04,3.95,77.27,9.09,13.64,20,470,542
37004,Queens,Old Astoria,1,,21,,,,,2,,1,25,414,591,6.04,4.23,84,8,8,11,478,520
37005,Queens,Queensbridge-Ravenswood-Long Island City,3,,14,,,1,,2,,,20,279,553,7.17,3.62,70,10,20,63,486,612
37006,Queens,Queensbridge-Ravenswood-Long Island City,2,,13,,2,,,5,1,,23,235,465,9.79,4.95,56.52,21.74,21.74,81,392,525
37007,Queens,Queensbridge-Ravenswood-Long Island City,2,,12,,,,,,,,14,273,347,5.13,4.03,85.71,0,14.29,21,331,385
37008,Queens,Queensbridge-Ravenswood-Long Island City,5,,11,,,,,1,,,17,387,505,4.39,3.37,64.71,5.88,29.41,26,470,531
37009,Queens,Astoria,1,,14,,,,,,,1,16,351,479,4.56,3.34,87.5,0,12.5,39,426,519
37010,Queens,Astoria,2,1,11,,,,,1,,,15,358,460,4.19,3.26,73.33,6.67,20,62,558,686
37011,Queens,Queensbridge-Ravenswood-Long Island City,5,,9,,,,,2,,,16,229,555,6.99,2.88,56.25,12.5,31.25,102,1036,1278
37012,Queens,Queensbridge-Ravenswood-Long Island City,1,,16,,,,,3,,,20,311,452,6.43,4.42,80,15,5,26,419,466
37013,Queens,Queensbridge-Ravenswood-Long Island City,2,,22,,,,,2,,,26,316,447,8.23,5.82,84.62,7.69,7.69,21,423,488
37014,Queens,Queensbridge-Ravenswood-Long Island City,1,,16,,,,,1,,,18,301,436,5.98,4.13,88.89,5.56,5.56,25,403,455
37015,Queens,Queensbridge-Ravenswood-Long Island City,4,,14,,1,,,2,,,21,321,437,6.54,4.81,66.67,9.52,23.81,33,391,460
