aded,trump,johnson,clinton,stein,total,winner
25023,99,4,180,7,305,clinton
25024,205,7,467,9,737,clinton
25025,194,7,393,5,638,clinton
25026,19,1,61,2,88,clinton
25027,255,14,383,6,714,clinton
25028,196,9,336,11,589,clinton
25029,308,9,379,16,762,clinton
25030,186,16,389,9,629,clinton
25031,43,5,330,4,410,clinton
25032,191,8,439,9,694,clinton
25033,217,16,394,14,679,clinton
25034,15,2,29,1,49,clinton
25035,160,4,250,4,448,clinton
25036,257,9,353,17,672,clinton
25037,253,9,383,6,696,clinton
25038,211,10,268,3,523,clinton
25039,249,9,354,11,653,clinton
25040,316,15,393,15,791,clinton
25041,65,3,156,3,235,clinton
25042,206,6,394,8,643,clinton
25043,210,7,381,9,649,clinton
25044,193,7,404,9,641,clinton
25045,140,5,367,6,558,clinton
25046,134,6,284,1,460,clinton
25047,167,4,294,5,519,clinton
25048,118,5,239,3,394,clinton
25049,103,6,256,9,394,clinton
25050,137,6,361,8,542,clinton
25051,94,0,279,6,397,clinton
25052,126,6,283,6,449,clinton
25053,150,5,399,3,594,clinton
25054,95,2,514,12,663,clinton
25055,128,4,379,4,532,clinton
25056,174,7,314,8,532,clinton
25057,112,3,195,7,341,clinton
25058,231,8,364,10,659,clinton
25059,192,6,423,7,667,clinton
25060,151,7,179,6,384,clinton
25061,244,6,385,3,679,clinton
25062,128,6,381,11,559,clinton
25063,200,12,352,11,611,clinton
25064,40,4,129,2,184,clinton
25065,129,2,362,4,519,clinton
25066,26,4,44,0,86,clinton
25067,0,0,0,0,0,null
25068,136,5,264,11,444,clinton
26001,147,5,117,2,291,trump
26002,52,3,76,3,165,clinton
26003,294,13,391,8,750,clinton
26004,354,8,321,12,740,trump
26005,385,15,369,8,822,trump
26006,329,7,310,4,694,trump
26007,233,12,234,2,526,clinton
26008,337,12,397,15,820,clinton
26009,350,8,367,3,774,clinton
26010,315,16,392,3,784,clinton
26011,306,11,234,9,600,trump
26012,277,8,227,3,547,trump
26013,401,9,356,12,829,trump
26014,385,11,286,8,743,trump
26015,239,3,359,2,645,clinton
26016,342,10,465,6,919,clinton
26017,405,9,365,5,838,trump
26018,387,9,161,3,598,trump
26019,247,5,474,9,785,clinton
26020,257,3,475,3,828,clinton
26021,201,17,373,3,637,clinton
26022,208,9,358,7,632,clinton
26023,210,5,436,3,715,clinton
26024,148,9,391,13,616,clinton
26025,183,6,382,3,645,clinton
26026,205,8,550,10,855,clinton
26027,238,5,357,4,658,clinton
26028,273,7,379,11,730,clinton
26029,354,16,361,7,804,clinton
26030,322,14,427,13,833,clinton
26031,336,18,398,9,815,clinton
26032,269,8,456,18,821,clinton
26033,315,11,460,11,873,clinton
26034,200,3,196,6,426,trump
26035,305,9,333,5,751,clinton
26036,98,5,178,5,297,clinton
26037,291,9,376,7,733,clinton
26038,26,0,39,0,69,clinton
26039,113,8,265,7,431,clinton
26040,143,2,238,7,421,clinton
26041,14,1,40,0,55,clinton
26042,151,5,248,4,435,clinton
26043,134,3,160,3,329,clinton
26044,93,9,206,2,340,clinton
26045,245,10,487,15,824,clinton
26046,270,9,449,8,782,clinton
26047,238,7,509,5,802,clinton
26048,170,11,271,3,480,clinton
26049,161,4,275,3,478,clinton
26050,211,4,346,13,618,clinton
26051,145,11,267,2,448,clinton
26052,161,11,344,19,578,clinton
26053,254,6,457,14,809,clinton
26054,313,9,338,5,707,clinton
26055,211,7,335,5,605,clinton
26056,278,12,410,7,759,clinton
26057,276,13,467,15,826,clinton
26058,269,6,421,10,751,clinton
26059,341,14,384,15,806,clinton
26060,373,7,363,11,813,trump
26061,299,10,325,6,682,clinton
26062,268,9,365,18,704,clinton
26063,282,14,376,9,719,clinton
26064,283,10,306,6,635,clinton
26065,301,7,454,10,819,clinton
26066,360,16,427,12,872,clinton
26067,323,11,356,9,754,clinton
26068,312,11,298,12,692,trump
26069,336,14,411,9,816,clinton
26070,215,13,475,14,784,clinton
