aded,trump,johnson,clinton,stein,total,winner
33049,30,5,674,11,762,clinton
33050,57,1,701,11,838,clinton
33051,33,4,611,8,693,clinton
33052,55,3,554,3,698,clinton
33053,22,2,580,7,646,clinton
33054,12,3,633,5,683,clinton
33055,17,3,674,4,753,clinton
33056,15,1,711,6,777,clinton
33057,23,4,700,9,793,clinton
33058,20,3,680,7,756,clinton
33059,22,3,674,5,755,clinton
33060,15,1,630,7,703,clinton
33061,14,2,624,5,686,clinton
33062,19,5,736,1,804,clinton
33063,11,1,699,10,763,clinton
33064,21,5,681,4,769,clinton
33065,16,0,776,9,851,clinton
33066,11,2,616,9,688,clinton
33067,18,4,696,8,767,clinton
33068,16,0,743,6,809,clinton
33069,11,2,543,4,589,clinton
33070,13,2,515,3,568,clinton
33071,16,2,517,8,584,clinton
33072,13,3,521,6,584,clinton
33073,24,6,544,6,617,clinton
33074,77,6,425,7,551,clinton
34001,60,7,638,8,747,clinton
34002,113,4,488,4,661,clinton
34003,72,6,552,8,676,clinton
34004,81,5,581,3,726,clinton
34005,56,3,528,11,624,clinton
34006,49,1,364,6,436,clinton
34007,69,4,544,7,659,clinton
34008,103,7,501,19,681,clinton
34009,76,9,579,7,729,clinton
34010,134,8,545,10,737,clinton
34011,84,6,391,13,528,clinton
34012,75,3,399,9,515,clinton
34013,115,3,592,17,760,clinton
34014,72,2,459,13,576,clinton
34015,88,3,507,8,655,clinton
34016,145,8,531,12,743,clinton
34017,158,17,475,15,711,clinton
34018,131,7,650,11,867,clinton
34019,145,6,559,16,777,clinton
34020,108,4,589,12,756,clinton
34021,88,9,649,10,804,clinton
34022,124,10,610,19,821,clinton
34023,95,3,533,15,686,clinton
34024,146,8,700,19,935,clinton
34025,117,9,706,17,934,clinton
34026,115,8,585,18,786,clinton
34027,95,4,436,13,592,clinton
34028,122,11,640,11,837,clinton
34029,98,2,537,11,733,clinton
34030,3,0,29,1,50,clinton
34031,19,2,152,6,204,clinton
34032,19,1,91,1,122,clinton
34033,18,0,83,1,105,clinton
34034,24,2,125,2,178,clinton
34035,107,6,558,17,732,clinton
34036,118,8,554,8,728,clinton
34037,137,7,491,18,701,clinton
34038,109,2,536,5,681,clinton
34039,124,9,567,3,745,clinton
34040,132,5,397,7,575,clinton
34041,149,2,401,9,604,clinton
34042,72,6,347,8,460,clinton
34043,31,2,168,2,213,clinton
34044,26,0,194,3,240,clinton
34045,150,9,551,14,769,clinton
34046,82,2,329,8,445,clinton
34047,8,0,32,0,45,clinton
34048,62,1,203,6,289,clinton
34049,114,6,593,7,766,clinton
34050,95,2,579,12,729,clinton
34051,126,6,614,13,812,clinton
34052,119,7,536,18,725,clinton
34053,16,0,61,3,105,clinton
34054,0,0,0,0,0,null
34055,0,0,0,0,0,null
34056,20,2,66,3,95,clinton
34057,19,2,118,3,154,clinton
34058,0,0,0,0,0,null
34059,4,0,22,1,28,clinton
34060,91,2,397,11,530,clinton
34061,5,0,42,1,48,clinton
34062,42,2,93,2,147,clinton
34063,88,8,710,23,893,clinton
34064,0,0,0,0,0,null
35001,23,1,73,1,106,clinton
35002,120,7,453,4,621,clinton
35003,141,5,373,6,553,clinton
35004,70,5,281,2,381,clinton
35005,155,8,403,7,611,clinton
35006,112,6,472,12,658,clinton
35007,124,9,559,10,729,clinton
35008,142,8,451,9,642,clinton
35009,147,5,527,14,756,clinton
35010,116,10,488,5,681,clinton
35011,112,7,443,6,617,clinton
35012,81,3,453,4,580,clinton
35013,44,3,473,16,600,clinton
35014,79,3,429,4,548,clinton
35015,47,1,597,7,700,clinton
35016,49,3,598,8,710,clinton
35017,50,6,558,12,674,clinton
35018,49,4,646,7,763,clinton
35019,41,7,565,4,654,clinton
35020,51,2,717,11,818,clinton
35021,116,10,606,4,793,clinton
35022,59,6,337,9,442,clinton
35023,225,10,556,12,869,clinton
35024,162,7,376,6,591,clinton
35025,39,2,730,5,809,clinton
35026,155,2,285,5,483,clinton
35027,246,8,369,6,694,clinton
35028,36,1,237,7,296,clinton
35029,1,0,8,0,9,clinton
35030,85,1,90,3,191,clinton
35031,0,0,0,0,0,null
35032,43,1,378,0,446,clinton
35033,115,9,410,13,595,clinton
35034,0,0,0,0,0,null
35035,53,2,264,7,523,clinton
35036,8,2,37,1,54,clinton
35037,88,7,493,2,637,clinton
35038,39,2,539,8,629,clinton
35039,51,2,453,6,551,clinton
35040,71,5,515,2,639,clinton
35041,52,6,596,6,702,clinton
35042,40,4,461,3,537,clinton
35043,44,8,603,9,707,clinton
35044,29,2,483,8,559,clinton
35045,58,6,538,11,650,clinton
35046,43,4,484,10,569,clinton
35047,52,5,623,8,726,clinton
35048,53,6,685,5,793,clinton
35049,50,4,241,7,325,clinton
35050,121,2,556,8,736,clinton
35051,59,1,661,11,786,clinton
35052,59,3,645,7,846,clinton
35053,50,5,694,6,790,clinton
35054,0,0,0,0,0,null
35055,0,0,0,0,0,null
35056,0,0,0,0,0,null
35057,0,0,0,0,0,null
35058,0,0,0,0,0,null
35059,0,0,0,0,0,null
35060,0,0,0,0,0,null
35061,0,0,0,0,0,null
35062,0,0,0,0,0,null
36001,173,8,610,17,869,clinton
36002,175,11,640,14,894,clinton
36003,100,8,634,15,811,clinton
36004,117,12,490,11,692,clinton
36005,119,11,655,25,875,clinton
36006,87,8,616,15,811,clinton
36007,103,12,662,10,861,clinton
36008,113,16,670,16,872,clinton
36009,131,7,683,10,897,clinton
36010,127,15,746,13,970,clinton
36011,103,10,634,17,819,clinton
36012,108,24,787,10,1013,clinton
36013,123,26,585,17,787,clinton
36014,135,10,571,11,803,clinton
36015,112,19,632,14,845,clinton
36016,123,11,751,18,970,clinton
36017,96,17,597,10,787,clinton
36018,115,7,630,13,819,clinton
36019,109,9,640,22,867,clinton
36020,107,8,812,18,1022,clinton
36021,82,13,603,9,784,clinton
36022,109,9,577,17,783,clinton
36023,96,12,454,13,632,clinton
36024,99,12,588,22,793,clinton
36025,89,15,446,16,613,clinton
36026,105,7,421,11,572,clinton
36027,146,12,541,18,774,clinton
36028,130,8,453,7,663,clinton
36029,173,14,361,13,611,clinton
36030,133,10,431,11,631,clinton
36031,139,14,541,18,770,clinton
36032,115,8,477,10,667,clinton
36033,196,23,579,10,859,clinton
36034,134,8,564,10,780,clinton
36035,128,14,567,18,784,clinton
36036,116,12,676,19,899,clinton
36037,148,17,602,13,831,clinton
36038,174,12,607,19,883,clinton
36039,155,10,563,11,804,clinton
36040,154,6,571,11,795,clinton
36041,195,11,548,29,834,clinton
36042,139,3,464,11,662,clinton
36043,39,1,100,3,155,clinton
36044,7,0,67,0,80,clinton
36045,66,8,342,9,473,clinton
36046,223,6,329,12,607,clinton
36047,225,14,386,12,678,clinton
36048,245,3,396,12,723,clinton
36049,118,11,584,12,782,clinton
36050,51,1,112,1,175,clinton
36051,14,1,57,2,74,clinton
36052,99,8,548,18,726,clinton
36053,255,21,464,10,800,clinton
36054,170,7,229,11,444,clinton
36055,204,6,506,17,782,clinton
36056,117,12,433,12,632,clinton
36057,164,10,486,16,736,clinton
36058,108,14,484,16,675,clinton
36059,105,13,469,17,647,clinton
36060,124,13,560,15,764,clinton
36061,143,6,534,17,736,clinton
36062,98,17,383,9,541,clinton
36063,80,3,408,7,517,clinton
36064,84,9,540,11,687,clinton
36065,26,5,173,8,229,clinton
36066,70,7,481,19,605,clinton
36067,139,12,568,11,792,clinton
36068,0,0,0,0,0,null
36069,0,0,0,0,0,null
36070,0,0,0,0,0,null
36071,0,0,0,0,0,null
37001,148,14,607,15,818,clinton
37002,45,2,520,6,617,clinton
37003,20,6,470,6,542,clinton
37004,11,4,478,3,520,clinton
37005,63,12,486,9,612,clinton
37006,81,4,392,9,525,clinton
37007,21,1,331,6,385,clinton
37008,26,4,470,5,531,clinton
37009,39,3,426,11,519,clinton
37010,62,9,558,3,686,clinton
37011,102,20,1036,24,1278,clinton
37012,26,1,419,4,466,clinton
37013,21,2,423,6,488,clinton
37014,25,0,403,3,455,clinton
37015,33,2,391,13,460,clinton
37016,23,1,422,5,474,clinton
37017,18,0,473,5,528,clinton
37018,59,14,692,17,835,clinton
37019,97,19,742,7,962,clinton
37020,62,13,517,7,669,clinton
37021,66,18,541,4,702,clinton
37022,103,15,810,13,1020,clinton
37023,161,29,1427,19,1792,clinton
37024,92,20,994,15,1258,clinton
37025,17,2,100,3,132,clinton
37026,0,0,0,0,0,null
37027,118,10,715,14,940,clinton
37028,80,7,678,14,840,clinton
37029,117,9,565,14,775,clinton
37030,97,8,572,25,781,clinton
37031,142,11,665,11,899,clinton
37032,101,13,689,18,888,clinton
37033,77,3,621,10,770,clinton
37034,72,2,352,7,465,clinton
37035,55,5,532,11,680,clinton
37036,125,11,567,14,794,clinton
37037,101,12,612,18,830,clinton
37038,116,9,628,20,820,clinton
37039,113,11,604,18,792,clinton
37040,0,0,0,0,0,null
37041,53,2,136,1,205,clinton
37042,129,6,337,12,511,clinton
37043,264,15,385,18,721,clinton
37044,301,10,415,8,791,clinton
37045,224,12,427,17,714,clinton
37046,233,6,334,14,632,clinton
37047,170,12,450,11,675,clinton
37048,175,3,456,19,698,clinton
37049,156,7,483,14,697,clinton
37050,145,8,428,15,631,clinton
37051,2,0,17,1,21,clinton
37052,65,3,153,3,231,clinton
37053,34,2,83,2,139,clinton
37054,33,1,166,6,218,clinton
37055,0,0,0,0,0,null
37056,86,11,527,28,689,clinton
37057,123,9,562,15,747,clinton
37058,103,4,569,34,747,clinton
37059,86,5,607,12,748,clinton
37060,15,0,44,2,67,clinton
37061,138,8,263,12,454,clinton
37062,158,4,280,4,472,clinton
37063,137,11,643,18,836,clinton
37064,170,12,607,12,853,clinton
37065,121,12,564,12,759,clinton
37066,0,0,2,0,2,clinton
37067,149,5,420,22,634,clinton
37068,134,5,500,18,695,clinton
37069,0,0,0,0,0,null
37070,0,0,0,0,0,null
37071,0,0,0,0,0,null
37072,0,0,0,0,0,null
37073,0,0,0,0,0,null
37074,0,0,0,0,0,null
37075,71,28,807,16,1013,clinton
37076,34,7,235,6,306,clinton
37077,73,10,565,13,748,clinton
38001,52,1,412,17,514,clinton
38002,49,2,419,12,517,clinton
38003,80,2,475,8,598,clinton
38004,82,9,452,13,592,clinton
38005,36,5,435,6,519,clinton
38006,105,11,555,21,730,clinton
38007,63,5,467,15,584,clinton
38008,113,7,488,19,662,clinton
38009,165,12,520,17,758,clinton
38010,166,10,535,10,774,clinton
38011,1,0,3,0,4,clinton
38012,131,11,279,9,461,clinton
38013,132,4,221,7,390,clinton
38014,241,13,454,9,757,clinton
38015,74,1,103,2,191,clinton
38016,292,8,424,17,791,clinton
38017,321,13,372,15,777,clinton
38018,326,7,408,14,807,clinton
38019,249,10,246,11,546,trump
38020,31,1,100,0,161,clinton
38021,70,0,231,5,334,clinton
38022,349,13,450,13,865,clinton
38023,106,8,502,9,665,clinton
38024,90,3,534,14,674,clinton
38025,88,5,516,13,648,clinton
38026,90,6,394,5,522,clinton
38027,62,1,485,2,586,clinton
38028,275,7,333,7,673,clinton
38029,47,4,457,4,540,clinton
38030,98,5,586,7,765,clinton
38031,116,5,474,12,662,clinton
38032,107,5,527,9,691,clinton
38033,65,3,264,2,360,clinton
38034,34,1,198,3,245,clinton
38035,15,1,109,2,140,clinton
38036,32,0,185,1,231,clinton
38037,51,2,255,6,345,clinton
38038,97,3,532,3,678,clinton
38039,120,3,581,10,760,clinton
38040,77,4,527,6,653,clinton
38041,81,6,655,12,786,clinton
38042,115,6,540,10,714,clinton
38043,47,7,304,1,375,clinton
38044,72,5,414,9,525,clinton
38045,50,2,256,3,328,clinton
38046,63,2,347,8,443,clinton
38047,80,5,334,9,461,clinton
38048,178,6,542,9,787,clinton
38049,152,9,594,10,809,clinton
38050,100,4,338,6,471,clinton
38051,108,7,515,17,702,clinton
38052,171,11,476,11,715,clinton
38053,35,3,161,1,205,clinton
38054,126,4,499,10,682,clinton
38055,122,7,523,17,733,clinton
38056,103,9,496,5,667,clinton
38057,102,5,478,13,645,clinton
38058,123,14,411,8,606,clinton
38059,93,3,312,13,442,clinton
38060,0,0,0,0,0,null
38061,0,0,0,0,0,null
38062,57,6,472,17,596,clinton
38063,90,5,457,9,605,clinton
39001,57,1,415,5,528,clinton
39002,92,6,426,8,569,clinton
39003,91,5,375,4,500,clinton
39004,104,4,478,4,612,clinton
39005,71,2,492,3,617,clinton
39006,49,2,357,5,436,clinton
39007,96,1,615,7,759,clinton
39008,89,5,465,4,591,clinton
39009,57,7,519,8,621,clinton
39010,69,8,519,11,651,clinton
39011,101,7,427,10,584,clinton
39012,72,4,566,14,688,clinton
39013,67,5,481,6,600,clinton
39014,82,3,387,10,501,clinton
39015,63,4,558,11,683,clinton
39016,98,2,532,7,691,clinton
39017,103,4,548,8,693,clinton
39018,85,5,539,13,689,clinton
39019,81,5,600,13,744,clinton
39020,6,0,33,0,42,clinton
39021,24,0,83,3,121,clinton
39022,37,0,144,1,203,clinton
39023,98,1,412,3,539,clinton
39024,54,3,173,4,251,clinton
39025,100,3,466,7,613,clinton
39026,74,6,329,5,441,clinton
39027,80,5,366,8,492,clinton
39028,17,1,104,1,130,clinton
39029,102,7,450,4,594,clinton
39030,83,6,403,9,531,clinton
39031,116,1,295,2,435,clinton
39032,45,4,284,2,363,clinton
39033,129,2,519,9,709,clinton
39034,132,5,513,7,695,clinton
39035,83,2,243,6,349,clinton
39036,19,0,37,1,57,clinton
39037,89,2,434,5,554,clinton
39038,49,0,291,5,373,clinton
39039,0,0,0,0,0,null
39040,31,0,97,1,143,clinton
39041,53,4,492,6,588,clinton
39042,11,0,87,1,103,clinton
39043,77,5,411,7,535,clinton
39044,119,3,668,23,878,clinton
39045,115,5,639,19,891,clinton
39046,111,6,718,16,915,clinton
39047,135,4,587,22,811,clinton
39048,82,1,387,6,501,clinton
39049,69,2,605,9,723,clinton
39050,31,1,147,0,193,clinton
39051,68,5,378,13,486,clinton
39052,78,0,541,6,679,clinton
40001,336,6,220,12,615,trump
40002,289,11,258,4,592,trump
40003,117,2,274,4,418,clinton
40004,242,11,250,12,545,clinton
40005,385,7,298,5,730,trump
40006,339,4,241,5,626,trump
40007,333,11,378,11,784,clinton
40008,78,4,192,7,298,clinton
40009,314,9,388,5,763,clinton
40010,0,0,5,0,5,clinton
40011,22,1,53,1,93,clinton
40012,26,0,42,2,72,clinton
40013,208,5,259,7,521,clinton
40014,222,12,361,12,655,clinton
40015,166,5,324,11,554,clinton
40016,149,7,378,4,682,clinton
40017,79,4,154,1,255,clinton
40018,146,5,444,6,668,clinton
40019,79,3,412,14,560,clinton
40020,156,8,450,13,679,clinton
40021,75,2,210,5,319,clinton
40022,146,1,435,11,655,clinton
40023,144,3,392,6,611,clinton
40024,107,4,422,12,578,clinton
40025,116,2,325,6,477,clinton
40026,99,1,307,3,425,clinton
40027,117,7,344,4,510,clinton
40028,55,3,223,6,301,clinton
40029,188,6,400,3,634,clinton
40030,224,8,364,12,640,clinton
40031,163,5,339,8,554,clinton
40032,145,8,368,7,580,clinton
40033,138,4,389,8,596,clinton
40034,119,6,460,6,639,clinton
40035,97,5,504,2,647,clinton
40036,141,6,363,5,549,clinton
40037,92,7,461,2,600,clinton
40038,136,5,306,6,487,clinton
40039,125,2,485,7,647,clinton
40040,98,7,361,8,538,clinton
40041,136,8,357,3,542,clinton
40042,109,7,286,7,447,clinton
40043,130,6,326,11,506,clinton
40044,75,8,266,4,373,clinton
40045,81,5,365,10,512,clinton
40046,60,4,221,4,313,clinton
40047,208,15,342,9,624,clinton
40048,205,10,427,14,717,clinton
40049,94,8,208,4,334,clinton
40050,50,1,397,3,495,clinton
40051,78,5,444,4,562,clinton
40052,78,5,204,2,332,clinton
40053,118,2,261,3,413,clinton
40054,0,0,0,0,0,null
40055,0,0,0,0,0,null
41001,413,5,196,7,685,trump
41002,391,2,222,7,681,trump
41003,134,0,97,3,250,trump
41004,232,7,150,7,461,trump
41005,299,6,100,4,446,trump
41006,283,10,192,13,523,trump
41007,280,4,252,10,600,trump
41008,353,4,198,3,634,trump
41009,331,2,150,3,523,trump
41010,204,8,151,4,391,trump
41011,104,3,85,1,207,trump
41012,190,2,76,1,300,trump
41013,0,0,0,0,0,null
41014,53,0,67,1,131,clinton
41015,92,1,64,2,170,trump
41016,435,18,278,5,824,trump
41017,327,14,187,5,577,trump
41018,238,4,135,1,432,trump
41019,51,1,18,0,71,trump
41020,128,4,209,6,379,clinton
41021,207,4,295,4,554,clinton
41022,57,0,77,0,141,clinton
41023,10,0,74,1,89,clinton
41024,33,1,47,0,84,clinton
41025,16,0,91,2,126,clinton
41026,6,0,62,0,74,clinton
41027,49,2,243,3,326,clinton
41028,98,2,535,13,698,clinton
41029,1,0,47,0,48,clinton
41030,22,1,508,8,575,clinton
41031,32,2,612,7,740,clinton
41032,23,3,529,16,638,clinton
41033,24,9,608,5,704,clinton
41034,27,1,535,5,620,clinton
41035,268,8,261,4,574,trump
41036,342,12,191,6,581,trump
41037,10,4,491,2,547,clinton
41038,23,4,745,12,866,clinton
41039,25,0,523,3,595,clinton
41040,15,0,482,6,538,clinton
41041,45,2,664,7,765,clinton
41042,141,4,74,1,232,trump
41043,33,0,496,5,563,clinton
41044,115,5,100,4,241,trump
41045,20,5,738,7,827,clinton
41046,326,11,267,8,687,trump
41047,16,2,660,6,751,clinton
41048,4,2,264,1,284,clinton
41049,12,1,603,5,658,clinton
41050,373,7,143,4,589,trump
41051,78,2,76,0,159,trump
41052,157,3,135,3,314,trump
41053,82,1,569,3,723,clinton
41054,23,2,572,4,660,clinton
41055,20,3,517,9,614,clinton
41056,167,7,125,2,316,trump
41057,179,5,157,7,381,trump
41058,447,9,151,1,660,trump
41059,388,5,189,7,642,trump
41060,135,3,253,3,437,clinton
41061,149,10,199,3,385,clinton
41062,178,8,273,8,513,clinton
41063,192,14,214,5,485,clinton
41064,271,11,360,5,702,clinton
41065,37,3,123,1,175,clinton
41066,43,2,379,5,472,clinton
41067,39,3,328,5,408,clinton
41068,43,1,337,5,425,clinton
41069,44,0,381,1,463,clinton
41070,276,8,201,7,543,trump
41071,341,8,279,8,718,trump
41072,266,8,193,5,508,trump
41073,283,9,353,8,731,clinton
41074,275,2,189,8,532,trump
41075,194,3,286,6,536,clinton
41076,245,7,308,5,615,clinton
41077,196,4,178,8,427,trump
41078,178,4,190,6,419,clinton
41079,248,6,260,9,556,clinton
41080,33,2,34,0,75,clinton
41081,303,7,277,6,637,trump
41082,386,4,214,9,664,trump
41083,350,7,280,5,682,trump
41084,408,13,279,10,778,trump
41085,136,6,224,2,401,clinton
41086,45,0,19,2,66,trump
41087,207,8,165,4,405,trump
41088,323,4,145,6,496,trump
41089,174,1,154,1,378,trump
41090,62,3,97,0,188,clinton
41091,59,3,207,5,289,clinton
41092,0,0,0,0,0,null
41093,0,0,0,0,0,null
41094,174,8,64,2,274,trump
42001,5,0,48,0,55,clinton
42002,20,4,640,12,730,clinton
42003,24,5,817,21,943,clinton
42004,18,3,524,8,608,clinton
42005,30,10,657,10,770,clinton
42006,18,0,502,9,576,clinton
42007,22,5,680,13,787,clinton
42008,10,3,583,18,657,clinton
42009,18,3,692,9,801,clinton
42010,23,0,639,5,721,clinton
42011,10,3,645,5,723,clinton
42012,18,4,569,6,667,clinton
42013,14,2,520,7,595,clinton
42014,8,2,248,6,297,clinton
42015,17,1,653,16,758,clinton
42016,20,3,599,6,681,clinton
42017,20,2,618,11,708,clinton
42018,19,3,464,11,537,clinton
42019,14,0,417,8,480,clinton
42020,20,2,602,7,710,clinton
42021,25,1,631,16,731,clinton
42022,9,3,629,5,714,clinton
42023,26,2,677,13,808,clinton
42024,51,3,781,19,914,clinton
42025,37,4,668,19,868,clinton
42026,15,3,681,8,771,clinton
42027,25,6,677,15,795,clinton
42028,14,3,730,12,868,clinton
42029,14,2,612,5,693,clinton
42030,7,1,384,8,432,clinton
42031,12,3,491,9,552,clinton
42032,1,0,156,0,177,clinton
42033,0,0,26,0,27,clinton
42034,32,2,335,7,450,clinton
42035,31,4,410,15,498,clinton
42036,265,9,456,13,830,clinton
42037,28,1,219,5,285,clinton
42038,384,5,76,1,516,trump
42039,9,2,665,5,757,clinton
42040,17,2,653,9,733,clinton
42041,14,2,750,9,841,clinton
42042,15,3,526,6,603,clinton
42043,14,7,660,8,757,clinton
42044,21,1,470,4,534,clinton
42045,13,0,549,4,622,clinton
42046,15,2,573,2,644,clinton
42047,18,4,592,5,681,clinton
42048,34,0,579,10,689,clinton
42049,35,2,586,5,693,clinton
42050,14,2,656,11,743,clinton
42051,97,10,574,9,744,clinton
42052,60,4,636,8,785,clinton
42053,17,1,465,11,531,clinton
42054,22,4,595,12,701,clinton
42055,30,3,638,7,753,clinton
42056,10,4,641,7,708,clinton
42057,32,2,674,10,774,clinton
42058,18,0,568,6,656,clinton
42059,184,2,39,0,255,trump
42060,88,0,25,1,130,trump
42061,268,9,171,6,492,trump
42062,269,4,52,2,348,trump
42063,333,6,164,8,559,trump
42064,439,4,82,3,560,trump
42065,286,9,60,1,390,trump
42066,253,8,57,0,373,trump
42067,185,7,204,4,477,clinton
42068,7,1,407,2,466,clinton
42069,93,1,32,1,138,trump
42070,23,3,513,12,606,clinton
42071,23,1,546,1,628,clinton
42072,18,4,371,6,457,clinton
42073,26,3,654,6,759,clinton
42074,12,2,254,0,285,clinton
43001,12,6,606,14,692,clinton
43002,8,7,683,6,777,clinton
43003,26,0,771,11,884,clinton
43004,6,2,596,12,683,clinton
43005,7,1,423,16,488,clinton
43006,12,1,615,11,706,clinton
43007,6,6,531,14,609,clinton
43008,11,1,436,7,494,clinton
43009,12,2,722,17,830,clinton
43010,7,1,252,7,282,clinton
43011,116,6,356,5,543,clinton
43012,13,1,534,4,597,clinton
43013,308,7,241,4,625,trump
43014,12,4,611,7,713,clinton
43015,31,4,659,14,794,clinton
43016,29,1,788,18,911,clinton
43017,19,5,314,10,384,clinton
43018,7,4,654,10,736,clinton
43019,10,3,651,25,754,clinton
43020,14,3,689,17,842,clinton
43021,19,0,543,10,613,clinton
43022,13,3,686,13,775,clinton
43023,18,8,654,22,767,clinton
43024,7,3,544,14,616,clinton
43025,10,1,443,7,494,clinton
43026,17,7,603,7,694,clinton
43027,11,3,631,13,729,clinton
43028,14,1,578,8,637,clinton
43029,19,3,542,6,612,clinton
43030,15,1,459,13,527,clinton
43031,23,1,733,16,832,clinton
43032,11,0,527,7,588,clinton
43033,24,1,698,14,810,clinton
43034,8,0,281,5,320,clinton
43035,11,9,585,13,674,clinton
43036,19,2,546,9,639,clinton
43037,12,2,572,14,640,clinton
43038,94,7,641,10,815,clinton
43039,70,3,567,18,727,clinton
43040,287,12,199,4,539,trump
43041,13,7,708,19,840,clinton
43042,16,1,454,13,521,clinton
43043,66,1,324,4,421,clinton
43044,4,5,439,14,715,clinton
43045,8,1,432,11,686,clinton
43046,4,3,370,15,437,clinton
43047,6,2,491,11,574,clinton
43048,11,4,650,20,834,clinton
43049,9,2,653,11,728,clinton
43050,8,4,415,19,489,clinton
43051,23,1,563,8,658,clinton
43052,13,2,547,4,596,clinton
43053,63,2,506,1,675,clinton
43054,47,4,533,10,682,clinton
43055,97,7,487,7,637,clinton
43056,73,6,291,1,403,clinton
43057,310,6,209,2,579,trump
43058,78,5,313,10,444,clinton
43059,184,5,352,7,594,clinton
43060,240,11,351,8,663,clinton
43061,39,1,637,5,745,clinton
43062,144,3,186,3,374,clinton
43063,199,12,152,4,413,trump
43064,75,5,432,3,551,clinton
43065,36,1,414,6,513,clinton
43066,23,3,651,7,729,clinton
43067,19,2,577,1,691,clinton
43068,59,1,428,3,512,clinton
43069,7,0,380,8,434,clinton
43070,3,0,82,1,146,clinton
43071,9,0,484,9,535,clinton
43072,7,0,457,8,725,clinton
43073,23,3,662,19,788,clinton
43074,4,0,517,15,611,clinton
43075,9,1,447,6,526,clinton
43076,146,3,402,5,603,clinton
43077,127,5,395,8,559,clinton
43078,14,1,477,4,585,clinton
43079,7,0,243,2,281,clinton
44001,239,9,206,5,483,trump
44002,204,8,63,3,299,trump
44003,323,9,146,0,510,trump
44004,167,10,139,4,351,trump
44005,242,6,387,4,675,clinton
44006,159,7,399,12,617,clinton
44007,67,2,388,10,530,clinton
44008,146,17,606,16,876,clinton
44009,100,1,536,9,702,clinton
44010,51,5,526,6,618,clinton
44011,46,2,161,4,232,clinton
44012,6,0,94,1,109,clinton
44013,204,2,76,1,300,trump
44014,96,5,539,14,682,clinton
44015,145,8,640,20,875,clinton
44016,78,2,384,5,501,clinton
44017,88,3,360,13,509,clinton
44018,89,12,474,26,673,clinton
44019,149,7,353,4,540,clinton
44020,120,1,499,10,679,clinton
44021,39,0,5,1,50,trump
44022,9,0,12,1,24,clinton
44023,190,3,198,6,416,clinton
44024,181,2,196,6,414,clinton
44025,339,5,262,7,674,trump
44026,351,5,291,5,716,trump
44027,264,10,286,15,635,clinton
44028,125,6,307,6,474,clinton
44029,171,6,460,15,731,clinton
44030,207,12,405,8,694,clinton
44031,69,5,546,7,682,clinton
44032,17,0,76,4,111,clinton
44033,63,7,545,15,683,clinton
44034,43,4,370,12,455,clinton
44035,60,6,488,11,618,clinton
44036,35,2,756,20,884,clinton
44037,28,3,295,13,372,clinton
44038,35,4,494,9,615,clinton
44039,55,5,358,11,482,clinton
44040,3,0,113,1,119,clinton
44041,70,3,94,2,177,clinton
44042,184,6,302,3,529,clinton
44043,204,8,344,13,616,clinton
44044,92,4,238,7,369,clinton
44045,109,6,316,15,514,clinton
44046,17,1,250,5,282,clinton
44047,16,1,89,1,119,clinton
44048,22,6,358,5,458,clinton
44049,97,7,650,20,839,clinton
44050,65,6,722,15,895,clinton
44051,84,9,635,11,819,clinton
44052,106,11,656,24,848,clinton
44053,142,8,523,22,762,clinton
44054,86,6,727,17,921,clinton
44055,114,5,719,27,969,clinton
44056,92,9,476,15,619,clinton
44057,121,6,797,14,1052,clinton
44058,112,21,657,14,903,clinton
44059,87,4,595,21,803,clinton
44060,78,9,476,12,640,clinton
44061,35,2,382,8,469,clinton
44062,48,1,421,6,529,clinton
44063,33,8,490,12,597,clinton
44064,17,0,195,4,235,clinton
44065,49,8,726,21,895,clinton
44066,26,3,309,9,372,clinton
44067,253,3,172,4,484,trump
44068,20,4,375,4,454,clinton
44069,63,8,679,14,867,clinton
44070,33,12,430,7,575,clinton
44071,48,13,734,18,908,clinton
44072,23,6,627,7,757,clinton
44073,37,6,686,12,883,clinton
44074,57,12,804,22,997,clinton
44075,44,7,621,15,809,clinton
44076,37,9,635,17,786,clinton
44077,37,7,589,14,749,clinton
44078,41,5,746,10,932,clinton
44079,50,10,674,9,856,clinton
44080,27,6,485,6,580,clinton
44081,119,2,158,5,305,clinton
44082,0,0,0,0,0,null
44083,0,0,1,0,2,clinton
44084,0,0,0,0,0,null
44085,141,3,132,2,298,trump
44086,61,4,324,4,430,clinton
44087,62,2,206,5,295,clinton
45001,354,4,159,4,568,trump
45002,348,12,196,10,633,trump
45003,378,10,190,5,657,trump
45004,326,8,198,3,597,trump
45005,377,9,166,9,595,trump
45006,430,8,134,10,633,trump
45007,20,0,16,0,41,trump
45008,263,7,123,6,440,trump
45009,374,6,106,4,542,trump
45010,159,1,44,1,212,trump
45011,199,7,239,5,558,clinton
45012,293,7,289,5,645,trump
45013,267,8,191,3,500,trump
45014,406,8,172,5,632,trump
45015,132,1,9,0,150,trump
45016,439,4,140,2,623,trump
45017,291,4,85,0,420,trump
45018,29,1,22,0,54,trump
45019,325,5,106,7,491,trump
45020,312,2,56,3,397,trump
45021,324,6,81,1,448,trump
45022,312,4,102,5,453,trump
45023,347,8,187,6,584,trump
45024,312,5,253,2,631,trump
45025,52,2,90,4,167,clinton
45026,114,2,217,4,362,clinton
45027,187,7,263,7,498,clinton
